ax,ay,az,gx,gy,gz,left_click,right_click
-0.1892,0.0564,1.0022,-2.0382,-0.8015,-0.4427,0,0,0
-0.189,0.0557,1.0054,-1.8702,-0.8015,-1.0458,0,0,0
-0.1924,0.0471,1.0095,-1.4427,-0.7405,-1.2824,0,0,0
-0.1956,0.0481,1.0193,-1.2672,-0.626,-0.8168,0,0,0
-0.2007,0.0369,1.0247,-1.6718,-0.3206,-0.4809,0,0,0
-0.1941,0.0435,1.019,-1.5573,-0.0534,0.0687,0,0,0
-0.1895,0.0579,1.0132,-2.2519,0.0534,0.2977,0,0,0
-0.1816,0.0664,1.0046,-2.2824,-0.1756,-0.0305,0,0,0
-0.1841,0.064,1.0005,-1.5191,-0.7023,-1.2061,0,0,0
-0.1833,0.0605,1.0054,-1.2748,-0.9924,-2.374,0,0,0
-0.1921,0.0459,1.0098,-0.9847,-1.0382,-2.2366,0,0,0
-0.1948,0.0432,1.0034,-1.6412,-0.6031,-1.6565,0,0,0
-0.1963,0.0391,1.0107,-2.4122,-1.0382,-0.5496,0,0,0
-0.1921,0.0349,1.0288,-2.9695,-0.916,-0.4275,0,0,0
-0.1958,0.033,1.0266,-1.9847,-0.4427,-0.0992,0,0,0
-0.1931,0.0432,1.0105,-0.5802,0.7786,0.2901,0,0,0
-0.1892,0.0583,0.999,-1.1908,0.2137,0.1985,0,0,0
-0.1919,0.0645,0.9988,-0.8779,-0.5191,-0.4504,0,0,0
-0.1958,0.0581,0.9985,-1.0534,-1.0992,-0.7634,0,0,0
-0.1885,0.052,1.0154,-1.8702,-1.1756,-1.1908,0,0,0
-0.1934,0.0496,1.0234,-2.5954,-0.8168,-1.1985,0,0,0
-0.1921,0.0491,1.0259,-3.2443,0.0992,-1.1374,0,0,0
-0.1941,0.0493,1.0183,-3.3969,0.6412,-0.6183,0,0,0
-0.1899,0.0522,1.011,-3.2595,0.6412,-0.5649,0,0,0
-0.1907,0.0571,0.9968,-1.8626,0.3511,-1.0992,0,0,0
-0.1899,0.0579,0.9968,-1.5191,-0.4122,-1.3664,0,0,0
-0.196,0.0457,1.0071,-1.8321,-1.2519,-1.4198,0,0,0
-0.1948,0.042,1.0129,-1.0687,-1.1069,-0.7328,0,0,0
-0.1936,0.0361,1.0195,-1.2366,-0.3206,-0.5573,0,0,0
-0.1948,0.0378,1.0156,-1.5267,-0.3359,-0.5267,0,0,0
-0.1931,0.0439,1.0071,-1.7557,-0.1298,-0.229,0,0,0
-0.1921,0.0432,1.0073,-1.0458,-0.687,-0.0763,0,0,0
-0.1941,0.0552,0.9875,-0.8168,-0.9695,-0.4351,0,0,0
-0.1921,0.0522,0.999,-0.9542,-1.5954,-0.4122,0,0,0
-0.1938,0.0564,1.0095,-0.687,-2.084,-0.3817,0,0,0
-0.1958,0.0532,1.0178,-0.458,-1.5573,-1.0305,0,0,0
-0.1926,0.0459,1.0195,-0.5267,-1.3206,-0.5496,0,0,0
-0.1914,0.0396,1.0129,-0.458,-1.0,-0.4504,0,0,0
-0.1929,0.0542,1.0046,-1.1145,-1.1374,0.0305,0,0,0
-0.1951,0.0493,1.0137,-1.5649,-1.2137,-0.0992,0,0,0
-0.1887,0.053,1.0151,-1.4275,-1.542,-0.3588,0,0,0
-0.1895,0.0588,1.0068,-1.3206,-1.3053,-0.3435,0,0,0
-0.1887,0.0559,1.012,-2.1374,-1.3969,-0.7557,0,0,0
-0.1836,0.0532,1.0227,-1.9237,-0.9542,-0.6947,0,0,0
-0.1863,0.0508,1.0171,-1.6718,-0.2977,-0.9008,0,0,0
-0.1892,0.054,1.0115,-1.687,-0.2519,-0.8397,0,0,0
-0.1926,0.0522,1.0044,-0.6947,-0.3206,-1.2137,0,0,0
-0.1917,0.053,0.9946,-1.2977,-1.1527,-1.1145,0,0,0
-0.1926,0.0427,1.0171,-1.6641,-1.3969,-0.9847,0,0,0
-0.1892,0.0466,1.0181,-1.7481,-0.4809,-0.9008,0,0,0
-0.1904,0.051,1.0127,-1.7863,-0.229,-0.1985,0,0,0
-0.187,0.0562,1.0029,-2.4198,-0.0229,-0.3817,0,0,0
