ax,ay,az,gx,gy,gz,left_click,right_click
-0.2422,0.1304,0.9937,-1.2366,-2.0382,-1.5878,0,0,0
-0.2427,0.1265,0.9961,-1.9389,-1.8397,-1.3893,0,0,0
-0.2437,0.1208,0.9949,-2.0458,-1.7099,-1.2061,0,0,0
-0.2415,0.1184,1.0027,-2.0992,-1.4885,-0.9542,0,0,0
-0.2402,0.1172,0.9939,-1.2137,-1.6947,-0.7252,0,0,0
-0.2427,0.1267,1.0054,-0.4046,-1.4504,-0.9542,0,0,0
-0.2451,0.1296,0.9956,-0.2977,-1.1832,-1.0076,0,0,0
-0.2449,0.1304,0.998,-0.855,-0.9084,-1.229,0,0,0
-0.25,0.1296,0.9868,-1.2443,-0.8397,-1.1679,0,0,0
-0.2498,0.1296,0.9902,-2.0,-0.7481,-0.9008,0,0,0
-0.2505,0.1313,0.9868,-2.0458,-0.7557,-0.7634,0,0,0
-0.251,0.126,0.9875,-1.8931,-0.6412,-1.2824,0,0,0
-0.2568,0.1311,0.9863,-1.855,-0.6641,-1.145,0,0,0
-0.2473,0.127,0.9814,-2.2443,-0.916,-1.1679,0,0,0
-0.2498,0.1309,0.9868,-3.0,-1.1527,-1.374,0,0,0
-0.2473,0.127,0.9741,-3.8321,-1.4275,-1.2366,0,0,0
-0.2461,0.1243,0.9797,-4.5496,-1.9542,-1.3817,0,0,0
-0.249,0.1172,0.9868,-4.3664,-2.2137,-0.8244,0,0,0
-0.2432,0.1116,0.9797,-2.9924,-2.3206,-0.1985,0,0,0
-0.2468,0.1143,0.9834,-1.6641,-2.7557,0.0992,0,0,0
-0.248,0.1179,0.9749,-0.4656,-3.0687,0.4962,0,0,0
-0.2549,0.1218,0.9761,-0.4885,-3.8321,0.4046,0,0,0
-0.2544,0.1279,0.9849,-1.4962,-4.313,0.7176,0,0,0
-0.2417,0.1309,0.9883,-2.0076,-4.3588,0.4733,0,0,0
-0.2441,0.1267,0.999,-2.3511,-3.9313,0.374,0,0,0
-0.2493,0.1255,0.9961,-2.1221,-3.8855,0.8931,0,0,0
-0.2515,0.1228,1.0063,-2.0305,-3.5802,0.2366,0,0,0
-0.2417,0.1287,1.0005,-1.458,-3.6412,0.1527,0,0,0
-0.2441,0.1228,0.9995,-1.3053,-3.7099,0.0763,0,0,0
-0.2346,0.1331,1.0034,-1.145,-3.6565,0.1374,0,0,0
-0.2344,0.1287,0.9929,-1.4427,-3.5954,0.1832,0,0,0
-0.2385,0.1211,0.9851,-2.3588,-3.9084,0.3588,0,0,0
