ax,ay,az,gx,gy,gz,left_click,right_click
-0.2073,-0.6069,0.7822,-2.5344,-0.9008,-0.9695,0,0,0
-0.2053,-0.6206,0.7942,-2.0153,-0.855,-0.9008,0,0,0
-0.2021,-0.6194,0.802,-1.4885,-0.6641,-0.7252,0,0,0
-0.2014,-0.6147,0.7993,-0.916,-0.4885,-0.626,0,0,0
-0.2021,-0.6135,0.7988,-0.8779,-0.3969,-0.6412,0,0,0
-0.2053,-0.6006,0.7954,-0.8321,-0.6412,-0.3435,0,0,0
-0.2039,-0.5923,0.7913,-1.1221,-0.6031,-0.5496,0,0,0
-0.2065,-0.5872,0.7917,-1.2443,-0.7099,-0.5496,0,0,0
-0.2107,-0.5894,0.7976,-1.7176,-0.7405,-0.9008,0,0,0
-0.2041,-0.594,0.7939,-1.9618,-0.4809,-0.9695,0,0,0
-0.2053,-0.6045,0.8013,-2.7099,-0.5496,-0.687,0,0,0
-0.1987,-0.6079,0.8049,-2.5573,-0.6412,-0.2824,0,0,0
-0.1995,-0.6133,0.7966,-2.5038,-0.4275,-0.687,0,0,0
-0.2002,-0.614,0.7937,-1.7786,-0.229,-0.4656,0,0,0
-0.196,-0.6069,0.7925,-1.5878,-0.3053,-0.2519,0,0,0
-0.2009,-0.604,0.7905,-1.4809,-0.2137,-0.2977,0,0,0
-0.2063,-0.6021,0.7905,-1.4962,-0.1298,-0.1985,0,0,0
-0.2087,-0.6008,0.7922,-1.6641,-0.2824,-0.145,0,0,0
-0.2083,-0.5977,0.7976,-1.6565,-0.3969,-0.0458,0,0,0
-0.2107,-0.5986,0.7991,-1.9542,-0.1298,-0.6183,0,0,0
-0.2097,-0.604,0.7976,-2.1679,-0.1069,-0.7328,0,0,0
-0.2109,-0.6084,0.7996,-2.1908,-0.1832,-0.4046,0,0,0
-0.2078,-0.6047,0.7966,-2.0,-0.0992,-0.4809,0,0,0
-0.2112,-0.6062,0.7915,-2.0305,-0.3053,-0.2901,0,0,0
-0.2095,-0.603,0.7935,-2.0382,-0.1908,-0.5115,0,0,0
-0.208,-0.6038,0.7849,-1.8779,-0.5802,-0.3588,0,0,0
-0.2134,-0.6057,0.7815,-1.8397,-0.3664,-0.5954,0,0,0
-0.2102,-0.603,0.791,-1.9847,-0.4733,-0.6107,0,0,0
-0.2166,-0.6077,0.793,-1.771,-0.5573,-0.7557,0,0,0
-0.2151,-0.605,0.7917,-1.6794,-0.4122,-0.6336,0,0,0
-0.2114,-0.6099,0.7952,-1.6718,-0.3282,-0.8397,0,0,0
-0.2056,-0.6055,0.7922,-1.6031,-0.7634,-0.5344,0,0,0
-0.2068,-0.6016,0.8003,-1.9008,-0.5267,-0.6947,0,0,0
-0.2014,-0.604,0.7949,-2.0382,-0.626,-0.5573,0,0,0
-0.2034,-0.604,0.7964,-2.2137,-0.3893,-0.5725,0,0,0
-0.2026,-0.6042,0.7881,-1.8092,-0.5191,-0.5649,0,0,0
-0.2068,-0.6006,0.7971,-1.7023,-0.5649,-0.5649,0,0,0
-0.186,-0.5947,0.7922,-3.542,0.5649,-0.3359,0,0,0
-0.1831,-0.5835,0.7512,2.3206,1.4046,-0.6641,0,0,0
-0.2231,-0.6526,0.7639,3.4733,-0.3282,0.0305,0,0,0
