ax,ay,az,gx,gy,gz,left_click,right_click
-0.0789,0.0881,1.0186,-3.0916,0.3664,1.0229,0,0,0
-0.0833,0.0881,1.019,-3.4427,0.3588,0.8779,0,0,0
-0.0881,0.0911,1.02,-3.4122,-0.0229,0.5191,0,0,0
-0.0913,0.0994,1.0225,-1.9924,-0.5802,0.2595,0,0,0
-0.0845,0.0984,1.0151,-0.5496,-0.8702,-0.6412,0,0,0
-0.083,0.0969,1.0088,-0.8931,-1.8092,-1.0916,0,0,0
-0.0774,0.0891,1.0203,-2.4962,-1.7634,-1.0534,0,0,0
-0.0754,0.0884,1.0317,-4.3588,-1.9313,-0.9542,0,0,0
-0.0779,0.0852,1.0281,-5.1756,-0.6641,-0.4504,0,0,0
-0.0786,0.0842,1.0295,-4.3359,0.0,0.0992,0,0,0
-0.0786,0.0828,1.0208,-3.1832,-0.0687,0.5267,0,0,0
-0.0786,0.0852,1.0229,-2.7176,-0.6031,0.8321,0,0,0
-0.0798,0.0852,1.0283,-2.5649,-0.8321,0.7405,0,0,0
-0.0764,0.0864,1.0203,-3.2748,-0.5954,0.4504,0,0,0
-0.0781,0.0854,1.0288,-4.3282,-0.8168,0.5191,0,0,0
-0.0759,0.0837,1.0308,-4.7863,-0.3206,0.8779,0,0,0
-0.0774,0.0813,1.0266,-4.7634,-0.0763,0.6947,0,0,0
-0.0806,0.0813,1.0386,-4.1985,-0.4733,0.9389,0,0,0
-0.0825,0.0815,1.0381,-3.1374,-0.458,1.4656,0,0,0
-0.0764,0.0803,1.0315,-2.542,0.0382,1.4046,0,0,0
-0.0754,0.0867,1.0293,-2.855,1.0458,1.7634,0,0,0
-0.0798,0.083,1.0234,-4.1679,1.0687,1.2672,0,0,0
-0.0869,0.0793,1.019,-6.1679,0.1069,1.1298,0,0,0
-0.0842,0.0779,1.0339,-7.2214,-0.2824,1.687,0,0,0
-0.0837,0.0786,1.0522,-7.1221,1.3588,2.6107,0,0,0
-0.0811,0.0757,1.0547,-7.0534,2.8244,2.6794,0,0,0
