ax,ay,az,gx,gy,gz,left_click,right_click
0.1653,0.1345,1.0405,-4.2977,-60.1069,24.8931,0,0,0
0.219,0.262,1.0627,-2.0382,-58.0992,24.229,0,0,0
0.1455,0.2346,1.0127,-2.5725,-54.4733,20.8168,0,0,0
0.1235,0.1868,0.9956,-3.3969,-48.7023,16.9237,0,0,0
0.1316,0.1414,1.0156,-5.2977,-49.687,15.1832,0,0,0
0.1519,0.2107,1.0059,-9.542,-49.1985,15.5573,0,0,0
0.1682,0.1787,1.0042,-10.9618,-55.7023,17.8015,0,0,0
0.1443,0.1379,0.9875,-10.9924,-59.4809,18.1145,0,0,0
0.1819,0.2102,0.9988,-8.6031,-66.3053,17.1603,0,0,0
0.1946,0.2371,0.9795,-8.3588,-68.4504,11.9847,0,0,0
0.1975,0.2158,0.9565,-6.5191,-71.7863,4.771,0,0,0
0.2224,0.3027,0.9282,-6.0,-77.7328,-1.0611,0,0,0
0.156,0.2214,0.906,-1.4046,-90.6794,-5.2824,0,0,0
0.2527,0.2595,0.9573,3.9466,-98.4504,-9.145,0,0,0
0.283,0.2131,0.9441,12.5725,-101.0076,-13.9618,0,0,0
0.3088,0.1692,0.9817,23.5573,-106.9695,-14.9313,0,0,0
0.3779,0.1782,1.0273,26.0153,-101.6641,-14.8321,0,0,0
0.5168,0.2058,1.1191,25.1221,-90.7328,-4.8855,0,0,0
0.4585,0.1382,1.1321,20.0763,-70.9008,4.1069,0,0,0
0.4976,0.2114,1.1494,10.0534,-49.0229,7.6489,0,0,0
0.4949,0.2192,1.1433,-1.3817,-28.3053,6.1298,0,0,0
0.48,0.1956,1.1304,-10.4504,-9.9847,4.626,0,0,0
0.4758,0.1787,1.1282,-15.7557,6.4427,2.6107,0,0,0
0.4417,0.1755,1.0857,-16.3817,19.7328,-0.7405,0,0,0
0.3977,0.1306,1.0706,-13.1603,26.6718,-2.9542,0,0,0
0.3701,0.1272,1.054,-7.5267,31.3206,-3.5038,0,0,0
0.3552,0.1145,1.0342,-1.145,34.6336,-3.0229,0,0,0
0.334,0.1221,1.0088,1.458,36.1221,-1.145,0,0,0
0.311,0.1252,0.9841,0.6565,36.5878,-0.5115,0,0,0
0.2976,0.1304,0.9766,-3.9542,36.8168,0.542,0,0,0
0.2942,0.1172,0.97,-8.5573,36.4809,2.2519,0,0,0
0.2827,0.1025,0.9773,-11.8321,34.8626,4.3053,0,0,0
0.2781,0.1013,0.9768,-13.5649,34.4275,5.2595,0,0,0
0.2834,0.0886,0.991,-13.5725,34.542,5.9847,0,0,0
0.29,0.1074,1.0039,-11.4427,37.4809,7.6183,0,0,0
0.2751,0.1067,1.0032,-9.3206,40.5496,7.4733,0,0,0
0.2634,0.1106,0.9946,-7.7939,41.0458,7.6107,0,0,0
0.251,0.0806,0.9963,-6.229,40.5267,6.7481,0,0,0
0.2576,0.064,1.0129,-3.9695,41.1756,7.916,0,0,0
0.2603,0.1135,1.019,-2.8092,44.1221,8.3435,0,0,0
0.2561,0.1223,1.0073,-2.9466,46.4733,7.3969,0,0,0
0.2458,0.1514,1.0051,-5.229,48.5115,5.542,0,0,0
0.2131,0.1157,0.9766,-6.6794,45.4504,5.3817,0,0,0
0.1841,0.0884,0.9734,-7.5115,42.0916,7.4351,0,0,0
0.1829,0.1069,0.9597,-7.4656,37.1527,9.8015,0,0,0
0.1682,0.1245,0.9448,-7.3359,31.0153,11.6412,0,0,0
0.1528,0.1274,0.9414,-7.4275,23.3893,12.2595,0,0,0
0.1501,0.1426,0.9424,-7.5802,16.4733,10.5802,0,0,0
0.1533,0.1362,0.9353,-7.1908,9.5038,9.8397,0,0,0
0.1614,0.1069,0.9446,-5.4504,3.9084,10.5954,0,0,0
0.2,0.0742,0.9817,-0.8321,1.313,12.5115,0,0,0
0.2168,0.1047,1.0137,2.9237,2.9542,14.7176,0,0,0
0.2244,0.1409,1.0049,1.3893,5.8092,16.6336,0,0,0
0.2156,0.1614,1.0056,-3.1603,7.626,16.3435,0,0,0
0.2095,0.1462,1.0017,-7.9847,8.2977,16.4351,0,0,0
0.2192,0.1079,1.0166,-10.542,9.8473,19.4122,0,0,0
0.2136,0.0862,1.0151,-8.3817,11.5267,24.9542,0,0,0
0.2148,0.1082,1.0198,-7.8397,12.1832,29.313,0,0,0
0.2129,0.1431,1.0239,-8.9466,14.2519,29.6489,0,0,0
0.2146,0.1499,1.0283,-12.7328,16.374,29.3969,0,0,0
