ax,ay,az,gx,gy,gz,left_click,right_click
0.1335,0.0115,1.0225,-2.1374,-1.1679,0.084,0,0,0
0.1223,0.0176,1.0146,-0.7328,0.1985,1.1374,0,0,0
0.0964,0.0327,1.0291,-0.2366,0.3969,0.771,0,0,0
0.0854,0.0383,1.0303,-1.687,-0.0153,-0.3206,0,0,0
0.0918,0.0332,1.0198,-2.3435,-1.145,-0.6565,0,0,0
0.1001,0.0217,1.0129,-2.1756,-1.2824,-0.9695,0,0,0
0.1074,0.0244,1.0156,-1.2061,-0.855,-0.9847,0,0,0
0.1111,0.0264,1.0286,-0.4046,-0.3664,-0.2214,0,0,0
0.0967,0.031,1.0364,-0.5802,-0.4504,0.0687,0,0,0
0.0945,0.0369,1.0437,-1.8931,-1.3893,-0.2519,0,0,0
0.0984,0.0339,1.0447,-2.9771,-1.5344,-0.1069,0,0,0
0.1033,0.0288,1.0276,-3.1756,-0.6183,-0.3206,0,0,0
0.1011,0.0295,1.0137,-2.5954,-0.1756,-0.8244,0,0,0
0.0994,0.0288,1.0046,-2.1145,-0.2214,-1.3282,0,0,0
0.1121,0.0193,1.0073,-1.542,-0.7176,-1.3969,0,0,0
0.1123,0.0237,1.0222,-0.4733,-0.626,-0.4962,0,0,0
0.1138,0.03,1.0403,-0.8473,-0.9847,-0.0305,0,0,0
0.1047,0.0371,1.051,-1.7786,-0.771,0.0458,0,0,0
0.105,0.0376,1.0457,-2.7634,-0.771,-0.5573,0,0,0
0.1074,0.0288,1.0237,-3.6107,-0.2977,-0.6489,0,0,0
0.1123,0.0237,1.0117,-2.8779,0.1069,-0.4275,0,0,0
0.1089,0.02,0.9961,-1.3206,0.3282,-0.5038,0,0,0
0.0952,0.0359,1.0129,-0.7939,-0.2901,-0.5573,0,0,0
0.0984,0.0408,1.0327,-1.3511,-0.9847,-0.5802,0,0,0
0.1086,0.0361,1.0317,-2.2519,-0.0382,-0.771,0,0,0
0.1021,0.0344,1.0266,-2.2137,0.3969,-0.4427,0,0,0
0.0925,0.04,1.012,-2.4885,-0.5038,-1.0534,0,0,0
0.0957,0.0342,1.0142,-2.8779,-1.5802,-1.5344,0,0,0
0.1135,0.0256,1.0237,-2.3053,-1.2519,-1.4122,0,0,0
0.1108,0.0237,1.0195,-2.229,-0.5038,-0.4962,0,0,0
0.0938,0.0356,1.0251,-2.4046,-0.9313,-0.2366,0,0,0
0.0957,0.0332,1.0256,-2.2061,-1.8626,-1.4427,0,0,0
0.1047,0.0303,1.0256,-2.145,-1.9084,-1.771,0,0,0
0.1111,0.0359,1.0432,-2.229,-1.1527,-2.0,0,0,0
0.114,0.0271,1.0308,-2.4427,-0.4351,-2.1756,0,0,0
0.1135,0.0278,1.031,-2.8473,-0.3435,-1.7939,0,0,0
0.1113,0.0227,1.0317,-3.2519,-0.3969,-1.5649,0,0,0
0.1111,0.0212,1.0288,-3.313,0.0534,-0.229,0,0,0
