ax,ay,az,gx,gy,gz,left_click,right_click
0.0071,-0.0234,1.0312,-3.8702,-0.7176,-0.687,0,0,0
0.0063,-0.0276,1.0259,-3.1679,-1.374,-0.22140000000000004,0,0,0
0.0088,-0.021,1.0247,-1.771,-1.1679,-0.3893,0,0,0
0.0049,-0.0208,1.0366,-1.9313,-1.2824,-0.7023,0,0,0
0.01,-0.0159,1.0388,-1.4962,-0.542,-1.2137,0,0,0
0.0056,-0.0173,1.0339,-1.4656,-0.0992,-1.6947,0,0,0
0.0122,-0.0298,1.0312,-1.8092,-0.3664,-1.6412,0,0,0
0.0105,-0.0305,1.0261,-1.8397,-0.6641,-0.9542,0,0,0
0.0061,-0.0261,1.0288,-1.3969,-0.7023,-0.7252,0,0,0
0.0078,-0.021,1.0256,-1.9084,-0.6489,-1.3282,0,0,0
0.0066,-0.0242,1.0286,-2.084,-0.6794,-1.3588,0,0,0
0.0112,-0.0198,1.0361,-1.771,-0.5725,-1.2595,0,0,0
0.0066,-0.022,1.0359,-1.2748,-0.626,-1.0611,0,0,0
0.0068,-0.0212,1.0339,-1.084,-1.374,-0.626,0,0,0
0.0046,-0.0237,1.0215,-1.542,-0.6565,-0.3588,0,0,0
0.0066,0.0061,1.0327,-3.4275,-1.2672,-0.3435,0,0,0
0.0137,-0.0195,1.0327,-4.4733,-0.4962,-0.9542,0,0,0
0.0151,-0.0232,1.0281,-3.4885,-0.3053,-0.3817,0,0,0
0.0044,-0.0256,1.0334,-3.8855,-0.5191,-0.6031,0,0,0
0.0034,-0.0352,1.0217,-2.9084,-0.7099,-0.4809,0,0,0
0.0046,-0.0298,1.0259,-2.5115,-0.9084,-0.22140000000000004,0,0,0
0.0103,-0.0156,1.0254,-2.7252,-0.5878,-0.04579999999999995,0,0,0
0.0083,-0.0137,1.0325,-3.1756,-0.1679,-0.3206,0,0,0
0.0112,-0.0178,1.0342,-3.4122,0.5344,-0.4275,0,0,0
0.0117,-0.02,1.0303,-3.542,0.7557,-0.8855,0,0,0
0.0088,-0.0313,1.0383,-2.9771,0.3053,-0.2977,0,0,0
0.0061,-0.0313,1.0317,-2.5496,-0.1527,-0.1985,0,0,0
0.0076,-0.0317,1.0269,-2.8397,-0.3435,-0.22899999999999998,0,0,0
0.0061,-0.031,1.0332,-2.7023,-0.6412,-0.5878,0,0,0
0.0022,-0.033,1.0398,-2.3053,-1.0,-0.3893,0,0,0
0.0054,-0.022,1.0293,-1.8779,-1.2672,-0.626,0,0,0
0.0081,-0.0234,1.0393,-2.3511,-1.2443,-0.855,0,0,0
0.0095,-0.0269,1.0271,-2.1832,-1.1145,-1.2748,0,0,0
0.0054,-0.0234,1.0256,-2.1374,-1.1145,-0.8244,0,0,0
0.002,-0.0271,1.0217,-2.0153,-1.542,-0.9237,0,0,0
0.0044,-0.0291,1.0264,-2.1985,-0.8473,-0.7176,0,0,0
0.0044,-0.0193,1.0256,-2.0076,-0.5267,-0.3588,0,0,0
0.0107,-0.0222,1.0332,-2.1756,-0.5115,-0.22140000000000004,0,0,0
0.0132,-0.0208,1.0266,-2.8244,-0.3206,-0.3588,0,0,0
0.0083,-0.0234,1.0286,-3.4351,-0.2977,-0.08399999999999996,0,0,0
0.0098,-0.0281,1.0305,-3.626,-0.0916,0.36639999999999995,0,0,0
