ax,ay,az,gx,gy,gz,left_click,right_click
-0.147,0.1763,1.0132,-2.9008,-4.1069,3.5115,0,0,0
-0.1414,0.1797,1.0173,-2.8473,-3.0687,4.5344,0,0,0
-0.1406,0.1917,1.0193,-3.0153,-1.9084,4.9008,0,0,0
-0.1367,0.2058,1.0046,-3.0229,-1.855,4.7252,0,0,0
-0.1377,0.2163,1.0017,-3.9389,-2.2061,3.4962,0,0,0
-0.1357,0.2183,1.0029,-3.6947,-2.313,2.4198,0,0,0
-0.1328,0.2158,1.0181,-3.3817,-2.0305,1.4122,0,0,0
-0.1333,0.209,1.0181,-2.0382,-1.3664,1.1832,0,0,0
-0.1375,0.2009,1.0134,-0.8702,-1.2977,0.5878,0,0,0
-0.1372,0.1943,1.0027,0.9542,-1.6641,1.0534,0,0,0
-0.137,0.1978,0.9995,1.5573,-2.5191,1.5725,0,0,0
-0.1382,0.1938,1.0029,1.3588,-2.9008,1.1679,0,0,0
-0.1353,0.1909,1.0042,-0.0458,-2.3053,1.1298,0,0,0
-0.1379,0.1868,1.0056,-0.3053,-2.5954,1.8321,0,0,0
-0.1343,0.1958,1.0105,-1.5649,-2.3588,1.6718,0,0,0
-0.134,0.1936,1.0117,-2.687,-1.6489,1.4733,0,0,0
-0.1382,0.1826,1.01,-2.6565,-1.313,1.3282,0,0,0
-0.1389,0.1709,1.0081,-1.9237,-1.6107,2.3664,0,0,0
-0.1392,0.1736,0.9995,-0.3817,-1.8092,3.4733,0,0,0
-0.1367,0.1892,0.9941,0.2137,-2.0153,4.0076,0,0,0
-0.1313,0.2004,0.9873,0.2519,-2.2977,3.8779,0,0,0
-0.1287,0.1936,0.9856,0.6794,-2.6412,3.2519,0,0,0
-0.136,0.1892,0.9863,1.4198,-3.2595,3.5496,0,0,0
-0.1394,0.1572,0.9775,1.0534,-4.5802,3.8626,0,0,0
-0.1399,0.1487,0.9956,0.7405,-5.1527,6.4885,0,0,0
-0.1301,0.1577,0.9929,-0.4351,-4.7786,8.1145,0,0,0
-0.1299,0.1692,0.9976,-2.0534,-4.3969,9.3893,0,0,0
-0.1262,0.1904,0.9924,-3.5496,-4.229,9.7786,0,0,0
-0.123,0.1912,0.9937,-4.1298,-4.9084,9.4351,0,0,0
-0.1255,0.1721,0.999,-3.1298,-6.1985,9.4275,0,0,0
-0.1321,0.1487,1.0061,-1.4351,-6.6489,10.5802,0,0,0
-0.1294,0.1465,1.0273,-0.771,-6.4962,12.7252,0,0,0
-0.1287,0.1277,1.0322,-0.7023,-4.6107,14.8473,0,0,0
-0.1367,0.1082,1.0249,0.5649,-2.5954,18.4885,0,0,0
-0.124,0.1204,1.0007,2.145,-2.5725,22.4733,0,0,0
-0.123,0.1292,0.9788,2.8168,-3.4656,25.4656,0,0,0
-0.1223,0.1396,0.9705,1.313,-5.9466,27.8015,0,0,0
-0.1243,0.1565,0.9958,-0.6031,-8.9084,29.6412,0,0,0
-0.124,0.1548,1.0278,-3.7023,-10.0611,30.7557,0,0,0
-0.1155,0.175,1.0732,-4.1985,-6.7863,31.2824,0,0,0
-0.1013,0.1729,1.0881,-4.1908,-0.0458,32.4427,0,0,0
-0.1067,0.2114,1.0635,-2.0534,5.4733,31.8092,0,0,0
-0.105,0.2126,1.0125,0.084,7.1527,29.9542,0,0,0
-0.0984,0.2195,0.9871,1.6183,5.626,28.6107,0,0,0
-0.105,0.2217,0.9829,1.229,3.4962,26.7252,0,0,0
-0.1116,0.1985,0.9736,1.084,2.3969,25.5267,0,0,0
-0.1108,0.1799,0.9734,0.145,1.2672,25.7786,0,0,0
-0.1094,0.1812,0.9761,-1.1527,0.2672,26.5038,0,0,0
-0.1064,0.2061,0.9807,-3.0229,-0.0534,26.5114,0,0,0
-0.1018,0.2109,0.9836,-3.9847,-1.1603,26.2977,0,0,0
-0.1001,0.2134,0.9951,-3.9618,-1.7863,25.5878,0,0,0
-0.0947,0.2173,0.9849,-3.6718,-1.4962,25.0382,0,0,0
-0.0874,0.2134,0.9871,-2.9924,-2.0076,24.1145,0,0,0
-0.0852,0.231,0.98,-3.5191,-2.5191,23.0153,0,0,0
-0.0864,0.2461,0.99,-4.0916,-2.4198,21.4351,0,0,0
-0.0842,0.2488,0.9832,-3.9313,-2.5496,19.2748,0,0,0
-0.083,0.24,0.98,-3.8092,-3.7252,18.1298,0,0,0
-0.0828,0.2388,0.9875,-3.8397,-4.542,17.0916,0,0,0
