ax,ay,az,gx,gy,gz,left_click,right_click
0.0981,0.2847,0.9822,-5.0229,3.7939,-1.9847,0,0,0
0.0596,0.292,0.9697,-6.8015,0.5649,-0.0153,0,0,0
0.0674,0.2729,0.9639,-8.4351,-0.7481,-1.0458,0,0,0
0.0796,0.2654,0.9812,-8.4046,-2.1832,-0.5115,0,0,0
0.084,0.2542,0.9783,-6.8473,-2.6794,0.7099,0,0,0
0.0964,0.2522,0.998,-5.9084,-2.8015,2.2824,0,0,0
0.094,0.2625,1.0066,-6.2748,-1.4351,3.2137,0,0,0
0.0974,0.2639,1.0081,-5.9237,-0.2672,3.7634,0,0,0
0.0916,0.262,0.999,-5.8244,0.9313,4.3511,0,0,0
0.0862,0.2729,0.9822,-5.916,0.8931,4.3435,0,0,0
0.0862,0.2764,0.9851,-6.8244,0.374,4.7939,0,0,0
0.0854,0.2747,0.9785,-6.5954,-0.0763,4.8168,0,0,0
0.0867,0.2813,0.9871,-5.5725,-0.3435,5.2977,0,0,0
0.0867,0.2915,0.99,-4.3893,-0.7099,5.1679,0,0,0
0.0864,0.3054,0.9941,-3.8779,-0.9084,4.1756,0,0,0
0.0901,0.311,0.9871,-4.9924,-0.5267,3.8244,0,0,0
0.0974,0.3064,0.9812,-5.9924,-0.1985,3.8244,0,0,0
0.1025,0.2988,0.9797,-6.1298,0.4046,3.7176,0,0,0
0.1101,0.3123,0.9839,-6.0763,0.687,3.9084,0,0,0
0.1055,0.3062,0.9812,-5.687,1.1756,3.687,0,0,0
0.1006,0.3188,0.9624,-4.7557,1.0382,3.6794,0,0,0
0.0964,0.3306,0.9521,-3.4885,0.2061,2.7786,0,0,0
0.0928,0.3376,0.9583,-3.8473,-1.4198,2.0,0,0,0
0.0925,0.3264,0.9541,-3.2901,-2.2595,1.0916,0,0,0
0.0979,0.3247,0.9631,-1.8397,-3.1298,0.3053,0,0,0
0.0969,0.3262,0.9697,-0.7634,-3.1145,0.0229,0,0,0
0.1028,0.3293,0.9746,-0.6718,-3.1985,-0.5573,0,0,0
0.1013,0.3271,0.9773,-2.4046,-3.0534,-1.3053,0,0,0
0.095,0.3096,0.9705,-3.4504,-3.1221,-1.6947,0,0,0
