ax,ay,az,gx,gy,gz,left_click,right_click
0.0042,0.2068,1.0056,-3.1756,0.6031,-0.5496,0,0,0
0.0044,0.2085,1.0051,-2.6412,0.3053,-1.374,0,0,0
-0.0063,0.2112,1.0125,-2.0229,0.5649,-1.5344,0,0,0
-0.0056,0.2156,1.0142,-1.2824,0.5802,-1.5267,0,0,0
-0.0073,0.2219,1.0081,-1.0611,-0.0382,-1.1298,0,0,0
-0.0051,0.2249,1.0093,-1.687,-0.6718,-0.6641,0,0,0
-0.0049,0.2202,1.0063,-2.5725,-1.2672,-0.3359,0,0,0
0.009,0.217,1.01,-3.5802,-0.3359,0.1756,0,0,0
0.01,0.2214,1.0081,-4.5573,0.5725,-0.0458,0,0,0
0.0186,0.2107,1.011,-3.8626,2.2977,-0.5573,0,0,0
0.0154,0.2183,0.9998,-7.1832,3.7557,-1.3969,0,0,0
0.0127,0.2019,1.0012,-6.1374,4.2748,-2.2824,0,0,0
0.002,0.1951,1.0276,-5.9008,5.1603,-2.687,0,0,0
-0.0107,0.1882,1.0183,-4.9313,4.3206,-2.9084,0,0,0
-0.0176,0.1858,1.0107,-3.1679,2.6183,-2.3282,0,0,0
-0.0215,0.1899,1.0049,-1.7863,0.8168,-1.8397,0,0,0
-0.0193,0.1975,1.0186,-0.7557,-0.229,-0.8626,0,0,0
-0.0083,0.2065,1.0134,-0.7786,0.2137,0.0229,0,0,0
0.0054,0.2207,1.0103,-1.8092,0.4504,0.1298,0,0,0
0.0117,0.2258,1.0037,-2.7863,1.2061,-0.5573,0,0,0
0.0144,0.2202,1.0063,-3.8168,2.0458,-1.7939,0,0,0
0.0081,0.2168,1.0134,-4.6183,3.3435,-2.7786,0,0,0
0.0034,0.2148,1.0127,-4.9618,4.7252,-3.5115,0,0,0
-0.0081,0.2029,1.0063,-5.0992,5.0,-4.2366,0,0,0
-0.0132,0.1938,1.0073,-4.8321,4.771,-4.0153,0,0,0
-0.0181,0.1958,1.0125,-4.458,4.2672,-3.458,0,0,0
-0.0166,0.1956,1.0156,-4.1527,3.9466,-3.0534,0,0,0
-0.0234,0.1938,1.0281,-2.542,3.9771,-2.1908,0,0,0
-0.0273,0.2029,1.0144,-4.0076,3.3817,-2.0916,0,0,0
-0.0286,0.2019,1.0002,-4.0916,2.5725,-2.4885,0,0,0
-0.0215,0.2012,1.0012,-3.9084,1.916,-2.3893,0,0,0
-0.0264,0.197,1.0049,-4.1603,1.9542,-2.6794,0,0,0
-0.0264,0.1956,1.0034,-3.6718,2.6336,-2.0229,0,0,0
-0.0291,0.2019,0.9919,-3.6794,1.9847,-2.084,0,0,0
-0.0435,0.2004,1.0054,-3.542,1.5878,-1.771,0,0,0
