ax,ay,az,gx,gy,gz,left_click,right_click
0.0986,-0.0876,1.0342,-2.6031,0.0458,-1.2366,1,0,0
0.0959,-0.0916,1.0212,-3.916,-0.5573,-1.8855,1,0,0
0.1064,-0.1023,1.0098,-4.8626,-1.1374,-1.7557,1,0,0
0.1184,-0.1106,1.0032,-4.0611,-1.5191,-1.5267,1,0,0
0.1133,-0.1121,1.0017,-2.6336,-1.4046,-0.9618,1,0,0
0.1196,-0.1123,1.0068,-1.5496,-1.0458,-0.2595,1,0,0
0.1099,-0.1057,1.0127,-1.1221,-0.4885,-0.3359,1,0,0
0.1062,-0.1055,1.0066,-1.1756,-0.6107,-0.4885,1,0,0
0.1042,-0.1033,1.02,-1.2366,-1.2824,-0.2748,1,0,0
0.1089,-0.1008,1.0308,-0.7481,-0.8015,0.0687,1,0,0
0.1042,-0.095,1.0239,-1.1069,-1.0,0.4733,1,0,0
0.103,-0.0999,1.0222,-1.7099,-2.5496,0.0687,1,0,0
0.1174,-0.1069,1.0244,-1.6183,-2.9542,0.2824,1,0,0
0.1179,-0.1096,1.0212,-1.1679,-1.8931,0.8473,1,0,0
0.1262,-0.113,1.0261,-0.0916,-0.7328,0.6489,1,0,0
0.1208,-0.1016,1.0347,0.4427,0.2137,0.916,1,0,0
0.1035,-0.0957,1.0286,0.5344,0.2061,1.8397,1,0,0
0.095,-0.0906,1.0344,0.313,-1.0687,1.5344,1,0,0
0.0962,-0.0854,1.0457,-1.2519,-0.9237,1.1527,1,0,0
0.094,-0.0852,1.0347,-3.145,-1.3435,0.4275,1,0,0
0.092,-0.0918,1.021,-5.0305,-2.3511,0.1679,1,0,0
0.1045,-0.095,1.0103,-5.2443,-2.916,0.1908,1,0,0
0.1162,-0.1021,1.0029,-3.7176,-2.2672,0.4885,1,0,0
0.1106,-0.1069,0.988,-2.2214,-1.3969,0.8092,1,0,0
0.0999,-0.104,0.9993,-0.313,-1.5802,0.5878,0,0,0
0.1018,-0.0996,1.0051,0.8397,-0.9542,-0.7023,0,0,0
0.1077,-0.1001,1.0232,0.9847,0.1069,-1.084,0,0,0
0.1108,-0.0969,1.0322,0.8015,0.3435,-0.9008,0,0,0
0.1099,-0.1023,1.031,0.3053,-0.2901,-0.8931,0,0,0
0.1157,-0.104,1.0378,0.0076,-0.9313,0.313,0,0,0
0.1104,-0.0969,1.0347,-0.5191,-1.1603,1.0,0,0,0
0.1125,-0.0996,1.0288,-0.3969,-1.1145,1.2366,0,0,0
0.1064,-0.1011,1.0308,0.1145,-0.4962,1.3511,0,0,0
0.1069,-0.1003,1.0293,0.6641,0.3664,1.313,0,0,0
0.1052,-0.0972,1.0251,0.6489,1.0992,1.1069,0,0,0
0.0999,-0.1011,1.0327,-0.4275,0.855,1.2366,0,0,0
0.1006,-0.103,1.0149,-1.6031,-0.3969,1.5878,0,0,0
0.1016,-0.1069,1.0054,-1.7863,-1.1756,2.771,0,0,0
0.0955,-0.1011,1.0068,-0.8702,-2.4962,4.084,0,0,0
0.085,-0.1047,0.9873,-0.084,-5.3282,5.5344,0,0,0
