ax,ay,az,gx,gy,gz,left_click,right_click
0.1108,0.0652,0.9922,20.5573,-9.9847,5.4427,0,0,0
0.1013,0.0823,0.9844,17.6031,-6.458,3.4275,0,0,0
0.1243,0.0586,0.969,16.3511,-3.8015,2.8626,0,0,0
-0.0703,-0.0869,1.0464,0.0076,5.229,9.1527,0,0,0
0.0032,-0.0354,1.0066,-0.5954,10.9924,5.7557,0,0,0
-0.0764,-0.0776,1.0098,-2.9466,8.1756,7.8702,0,0,0
-0.0283,-0.075,1.0464,1.3053,8.5878,10.4962,0,0,0
-0.0308,-0.071,1.0342,0.5878,9.6412,10.2748,0,0,0
-0.0286,-0.0793,1.0425,0.7252,10.3435,11.1985,0,0,0
-0.0042,-0.0356,0.9993,-1.687,11.0687,8.5115,0,0,0
-0.0398,-0.0583,1.032,-2.3969,9.3053,6.1679,0,0,0
-0.0149,-0.0354,1.0183,-1.1832,6.0076,4.2748,0,0,0
-0.0188,-0.0581,1.0081,-2.0611,0.5802,0.3435,0,0,0
-0.019,-0.0637,1.0154,-2.6641,-2.7481,-3.2901,0,0,0
-0.054,-0.0801,1.05,-3.3435,-4.8168,-4.4275,0,0,0
-0.02,-0.074,1.05,-0.9008,-7.7099,-6.1221,0,0,0
-0.043,-0.0713,1.0266,-2.1527,-8.3817,-5.1908,0,0,0
-0.0613,-0.052,1.0405,1.2137,-11.8779,-4.8855,0,0,0
-0.0315,-0.0569,1.0361,4.542,-17.1603,-6.2519,0,0,0
-0.0334,-0.0391,1.0051,3.7634,-15.3435,-5.8931,0,0,0
0.0042,-0.0361,1.0193,2.8015,-9.4351,-6.0916,0,0,0
-0.0122,-0.073,1.0264,3.2824,-9.4351,-5.542,0,0,0
0.0142,0.0398,1.0144,1.313,-12.0305,-7.9008,0,0,0
-0.0779,-0.0413,0.981,-2.9008,-10.7176,-8.7328,0,0,0
-0.0073,-0.0371,1.0005,-9.3969,-3.2901,-8.8321,0,0,0
-0.0095,-0.0745,1.0244,-10.1298,1.4885,-5.626,0,0,0
-0.0352,-0.0732,1.03,-8.6794,4.6336,-3.0458,0,0,0
-0.0396,-0.083,1.0247,-6.313,3.7557,-2.3664,0,0,0
-0.0364,-0.0759,1.0239,-4.4046,0.3206,-3.7023,0,0,0
-0.0469,-0.0835,1.0171,-2.145,-4.1908,-3.1756,0,0,0
-0.0215,-0.0696,1.043,-0.5191,-5.6412,-2.5344,0,0,0
-0.0156,-0.0771,1.0413,-0.7023,-3.0305,-2.0153,0,0,0
-0.01,-0.0759,1.03,0.0,-0.4198,-0.9084,0,0,0
-0.0083,-0.0647,1.0208,-0.5725,1.7023,-0.4809,0,0,0
-0.0127,-0.0557,1.009,-2.1221,0.6718,-0.7481,0,0,0
-0.0024,-0.05,1.0229,-4.2443,-0.4122,-2.2977,0,0,0
-0.0154,-0.0642,1.0271,-4.7176,-0.9847,-3.2214,0,0,0
-0.0232,-0.075,1.0518,-3.8626,-0.6794,-3.2137,0,0,0
-0.0359,-0.0911,1.0544,-2.3359,0.1145,-2.1221,0,0,0
-0.0381,-0.0913,1.0447,-0.5802,0.8168,-0.855,0,0,0
-0.0344,-0.0742,1.033,0.2061,0.7099,0.9084,0,0,0
-0.0156,-0.0718,1.0261,0.0992,0.8092,0.3817,0,0,0
-0.0164,-0.0676,1.0269,-0.8321,1.2595,-0.7863,0,0,0
-0.0217,-0.0759,1.0244,-1.687,0.9695,-0.5191,0,0,0
-0.0256,-0.0774,1.0347,-2.8626,0.9847,-0.4504,0,0,0
-0.0188,-0.0908,1.0361,-3.3206,1.1603,-1.1603,0,0,0
-0.0459,-0.0964,1.0396,-2.1527,-0.2137,-0.5267,0,0,0
-0.031,-0.0913,1.0427,-0.7328,-2.145,0.7863,0,0,0
-0.0112,-0.0857,1.0498,0.6794,-2.5954,0.229,0,0,0
-0.0066,-0.0964,1.0425,2.9389,-2.0992,-0.3893,0,0,0
-0.0037,-0.0647,1.0217,2.6336,-0.3053,-0.4809,0,0,0
-0.0383,-0.0801,0.9958,0.5115,-1.2519,-0.4962,0,0,0
-0.0298,-0.063,1.02,-2.4885,-4.0382,-0.5115,0,0,0
0.0005,-0.0833,1.0474,-3.458,-1.3664,-1.9847,0,0,0
-0.0244,-0.0864,1.0359,-2.4275,1.7634,-0.5267,0,0,0
0.0925,-0.0178,1.0588,-3.5725,12.4351,-4.916,0,0,0
-0.0081,-0.0378,0.9929,-8.8092,22.4809,-3.9313,0,0,0
-0.0063,-0.0542,0.9937,-10.4656,28.0153,2.0916,0,0,0
0.0415,-0.0259,1.0,-14.2748,37.374,-0.7252,0,0,0
0.0034,-0.0391,0.9995,-19.7405,55.3206,0.9313,0,0,0
-0.0066,-0.0352,1.0305,-24.8397,67.4198,0.8702,0,0,0
-0.0308,-0.0461,1.0586,-27.9771,80.4809,-1.6412,0,0,0
-0.0549,-0.1047,1.0696,-24.687,92.1756,2.145,0,0,0
-0.1267,-0.1199,1.0249,-19.542,100.4733,7.4809,0,0,0
-0.2002,-0.1147,0.989,-17.5954,90.5267,7.7176,0,0,0
-0.2502,-0.1077,0.9648,-16.6718,67.2214,4.7863,0,0,0
-0.2378,-0.1331,0.9937,-11.8015,40.5344,4.8397,0,0,0
-0.2078,-0.1233,1.0312,-4.7023,19.9771,3.4046,0,0,0
-0.1741,-0.1145,1.0442,1.0916,4.5725,0.1603,0,0,0
-0.1733,-0.1013,1.0288,4.313,-7.0229,-2.3817,0,0,0
-0.1921,-0.1064,0.9966,6.0611,-20.5344,-4.3969,0,0,0
-0.1973,-0.1125,0.9758,8.2748,-31.3664,-5.0,0,0,0
-0.1907,-0.1099,0.969,10.0229,-40.1069,-3.687,0,0,0
-0.177,-0.1057,0.9717,8.9695,-50.3511,-3.7634,0,0,0
-0.1753,-0.126,1.0088,12.3817,-65.7405,-3.4656,0,0,0
-0.1301,-0.1167,1.0398,19.1069,-76.4122,-5.1145,0,0,0
-0.0852,-0.0864,1.0417,22.3511,-82.7328,-8.3817,0,0,0
-0.0754,-0.0923,1.0276,25.1908,-88.6412,-11.1527,0,0,0
