ax,ay,az,gx,gy,gz,left_click,right_click
-0.1387,0.1062,1.0166,-5.0687,1.6107,0.8397,0,0,0
-0.1399,0.1035,1.0107,-4.0916,1.2672,0.6565,0,0,0
-0.1382,0.1021,1.0222,-3.6336,0.9466,0.2214,0,0,0
-0.1421,0.1045,1.0154,-3.3206,0.2595,-0.6412,0,0,0
-0.144,0.0942,1.0012,-2.7481,0.0534,-1.2824,0,0,0
-0.1489,0.093,0.9976,-2.3282,-1.2061,-1.0611,0,0,0
-0.1511,0.0911,0.9963,-2.7557,-2.5038,-0.3893,0,0,0
-0.1494,0.094,1.0088,-3.374,-3.1221,0.2519,0,0,0
-0.1394,0.0945,1.0186,-3.1298,-2.2061,0.6641,0,0,0
-0.1377,0.0977,1.0186,-2.2824,-0.1145,0.6489,0,0,0
-0.1343,0.0984,1.0078,-2.145,1.0916,0.4351,0,0,0
-0.1433,0.0879,1.0029,-2.6565,2.0,-0.4427,0,0,0
-0.1484,0.0864,0.9917,-3.6565,0.5573,-0.1374,0,0,0
-0.1602,0.0818,1.0054,-3.1985,-0.9771,0.4351,0,0,0
-0.147,0.0859,1.01,-3.1221,-1.7939,1.4656,0,0,0
-0.1467,0.0918,1.0066,-1.9847,-2.2595,2.2519,0,0,0
-0.1384,0.083,1.0076,-1.4198,-2.6794,2.2672,0,0,0
-0.137,0.0908,0.9963,-1.2901,-2.5191,1.9542,0,0,0
-0.1343,0.0891,0.998,-2.5267,-2.3282,1.2214,0,0,0
-0.1372,0.085,1.009,-4.1069,-2.0611,1.1145,0,0,0
-0.1372,0.0806,1.0149,-5.5954,-1.084,1.3511,0,0,0
-0.1418,0.0781,1.011,-6.5649,-0.5191,2.1679,0,0,0
-0.1414,0.0754,1.0159,-7.1832,-0.0229,3.2366,0,0,0
-0.1389,0.0874,1.0205,-6.2061,-0.6794,3.5344,0,0,0
-0.1306,0.0896,1.0215,-6.0076,-1.6183,2.1374,0,0,0
-0.127,0.0808,1.031,-5.4885,-1.8092,0.8702,0,0,0
-0.134,0.0798,1.0269,-4.1069,-1.916,0.5878,0,0,0
-0.1445,0.0767,1.03,-3.687,-1.8397,0.8855,0,0,0
-0.145,0.0835,1.0276,-3.1069,-2.0763,1.1374,0,0,0
-0.1448,0.0874,1.0283,-2.3206,-1.8473,1.6183,0,0,0
-0.1404,0.0952,1.0273,-2.3969,-1.084,1.2977,0,0,0
-0.1423,0.0889,1.0181,-2.5115,-0.0458,1.4351,0,0,0
-0.1431,0.0906,1.0071,-3.2137,-0.0687,1.6031,0,0,0
-0.1511,0.0967,1.0171,-4.5649,-0.2977,1.9847,0,0,0
-0.1421,0.0964,1.0273,-5.3588,-0.1679,2.8473,0,0,0
-0.1301,0.1006,1.0332,-5.2824,0.9237,3.2214,0,0,0
-0.1189,0.0957,1.0449,-5.0458,2.4733,2.3664,0,0,0
-0.1204,0.0947,1.0369,-4.5496,3.4427,1.0916,0,0,0
-0.1335,0.0903,1.0317,-3.5344,2.7863,0.2061,0,0,0
-0.1406,0.0874,1.0295,-3.0382,1.8168,-0.3511,0,0,0
-0.1482,0.0706,1.022,-1.8321,0.7252,0.9695,0,0,0
-0.1609,0.052,1.0154,-1.8626,0.084,3.2061,0,0,0
-0.1819,0.0547,1.0242,-4.8931,-0.8397,6.1221,0,0,0
-0.1892,0.0393,1.0247,-7.1756,-0.2977,11.0305,0,0,0
-0.1853,0.0347,1.0249,-10.2595,1.6641,17.3893,0,0,0
-0.1897,0.0232,1.0247,-13.9542,3.6718,23.7405,0,0,0
-0.2,0.0151,1.0203,-18.0153,5.4198,29.7557,0,0,0
-0.2395,-0.0271,0.9976,-23.6107,5.1221,38.4351,0,0,0
-0.2434,-0.0142,0.9746,-28.7328,1.8473,50.1298,0,0,0
-0.2078,-0.0122,1.0005,-35.0916,-2.2137,63.6489,0,0,0
-0.1582,0.0088,1.033,-36.1832,-3.4504,72.6336,0,0,0
-0.1057,0.0017,1.0862,-33.1985,-0.8779,76.7634,0,0,0
-0.0859,0.0349,1.0774,-31.7099,1.1985,77.229,0,0,0
-0.1021,-0.0029,1.0576,-31.0534,1.5725,76.1221,0,0,0
-0.1602,-0.0117,0.981,-32.0687,-2.5802,77.1145,0,0,0
