ax,ay,az,gx,gy,gz,left_click,right_click
-0.2185,0.0964,1.0002,-2.9313,-2.2672,-1.5267,0,0,0
-0.2107,0.0872,0.9993,-2.9618,-3.1221,-2.1527,0,0,0
-0.1914,0.0684,1.0081,-2.626,-2.0076,-2.1679,0,0,0
-0.1968,0.0784,0.9983,-2.3359,-1.916,-0.9618,0,0,0
-0.2063,0.0847,0.9941,-2.1832,-2.4504,-0.8626,0,0,0
-0.2134,0.0823,1.0093,-2.626,-2.313,-0.2519,0,0,0
-0.2144,0.092,1.0061,-2.7099,-2.6031,-1.3511,0,0,0
-0.1963,0.0757,1.0044,-2.1756,-2.1679,-1.7252,0,0,0
-0.1909,0.0688,1.0095,-1.3359,-1.7099,-1.6336,0,0,0
-0.1931,0.0688,1.0042,-0.542,-0.9847,-0.5344,0,0,0
-0.2012,0.0789,1.0029,-1.0,-1.7328,1.3282,0,0,0
-0.2134,0.0774,0.9978,-1.5267,-2.8702,1.7634,0,0,0
-0.2004,0.0613,1.0046,-0.9695,-3.1527,2.0611,0,0,0
-0.1892,0.0686,1.0139,-0.4275,-2.0992,2.6794,0,0,0
-0.1936,0.0627,1.012,0.1221,-1.8779,4.542,0,0,0
-0.2053,0.0698,1.0132,0.229,-2.5649,7.8626,0,0,0
-0.2307,0.0723,1.0044,-1.9237,-5.6412,14.145,0,0,0
-0.1558,0.0239,1.0476,-4.145,-8.4962,25.2824,0,0,0
-0.2366,-0.1323,1.0117,-3.5573,-9.8092,32.9771,0,0,0
-0.0364,0.0664,0.9075,-3.374,-13.6794,50.9618,0,0,0
-0.1436,-0.02,1.0166,-6.4275,-16.5496,70.4351,0,0,0
-0.1699,0.0276,1.0186,-6.3664,-19.4046,78.5725,0,0,0
-0.2419,0.0659,1.0596,-5.5038,-27.4351,80.6718,0,0,0
-0.1616,0.1184,1.0847,-8.5267,-8.0611,70.4428,0,0,0
-0.1411,0.0701,1.0627,-7.0458,-9.1374,71.0611,0,0,0
0.105,0.1204,1.1819,-11.626,-7.4275,79.2214,0,0,0
-0.1355,0.1067,1.1443,-24.6641,-2.8397,87.6565,0,0,0
-0.1404,0.083,1.0828,-31.3359,0.5267,93.5191,0,0,0
-0.0576,0.0193,1.0203,-32.7557,3.626,97.7099,0,0,0
-0.1428,0.0825,0.9243,-28.6947,7.9924,97.7023,0,0,0
-0.0815,0.0359,0.9807,-16.9313,4.0305,92.6031,0,0,0
-0.1646,-0.0049,0.9524,-4.1908,20.1908,86.2214,0,0,0
-0.1936,0.113,0.8853,8.9771,22.6947,77.9771,0,0,0
-0.2205,0.1123,0.928,19.8092,23.458,68.6718,0,0,0
-0.2346,0.1584,0.9893,23.7557,23.8473,60.1908,0,0,0
-0.2546,0.2046,1.0164,20.9313,23.1832,52.9313,0,0,0
-0.2727,0.2144,0.9966,17.9695,20.2672,44.0687,0,0,0
-0.3125,0.2129,0.9836,17.7099,13.9771,34.542,0,0,0
-0.3274,0.2371,1.0022,17.4046,7.1756,21.4122,0,0,0
-0.3196,0.2996,1.0186,11.4046,0.5267,10.0611,0,0,0
-0.2776,0.2246,1.0437,4.7863,-4.8168,-0.9695,0,0,0
-0.1689,0.1519,1.0442,3.7099,-3.8168,-3.5344,0,0,0
-0.1299,0.1404,1.019,4.9008,1.6794,0.0,0,0,0
-0.1501,0.167,0.9785,6.6565,3.9695,1.2595,0,0,0
-0.1719,0.144,0.9844,8.2519,3.084,-0.3817,0,0,0
-0.1704,0.1807,0.9792,7.7786,0.1221,-3.458,0,0,0
-0.177,0.1616,1.0237,7.626,-3.9542,-7.7863,0,0,0
-0.1731,0.1697,1.0193,6.0458,-2.7786,-12.0458,0,0,0
-0.1475,0.1604,1.01,6.9695,0.2519,-14.1756,0,0,0
-0.1587,0.1265,0.9941,10.5878,2.1145,-17.7099,0,0,0
-0.1511,0.1179,0.9609,15.5267,5.7634,-19.626,0,0,0
-0.155,0.157,0.95,21.2061,6.145,-22.7786,0,0,0
-0.2224,0.1812,0.9199,25.3511,7.8168,-26.7099,0,0,0
-0.2405,0.2124,0.9309,25.2214,3.0458,-31.6565,0,0,0
-0.2664,0.2161,0.9238,22.1374,-6.313,-38.626,0,0,0
-0.2244,0.2002,0.9402,20.3282,-18.8931,-45.7634,0,0,0
-0.1765,0.1711,0.9741,20.626,-18.3893,-49.8931,0,0,0
-0.1946,0.1536,0.978,21.1908,-19.2901,-54.7634,0,0,0
-0.1343,0.1365,1.0112,20.6794,-17.8092,-52.5267,0,0,0
-0.1245,0.1387,1.002,18.5267,-19.3435,-45.7557,0,0,0
-0.1221,0.1631,0.9775,21.7176,-15.0992,-44.9618,0,0,0
-0.1895,0.115,0.9666,27.1221,-8.6794,-45.1832,0,0,0
-0.1904,0.1643,0.9749,33.0076,0.5344,-47.6794,0,0,0
-0.179,0.1956,0.9775,34.8092,4.4198,-51.6794,0,0,0
-0.2312,0.2629,0.9546,31.9237,-0.313,-50.4046,0,0,0
-0.231,0.2136,1.0015,25.1756,-11.2443,-46.7939,0,0,0
-0.1775,0.2222,1.0215,17.6565,-13.6336,-43.8244,0,0,0
-0.2063,0.2109,1.0156,12.4656,-15.0763,-39.9924,0,0,0
-0.2202,0.2578,0.978,10.0,-20.6183,-42.0992,0,0,0
-0.2107,0.187,1.002,9.0992,-23.5496,-44.6718,0,0,0
-0.1733,0.1584,1.0269,10.9847,-24.0153,-47.9542,0,0,0
-0.0959,0.1819,1.0071,12.8779,-8.4504,-49.458,0,0,0
-0.2283,0.1907,0.9746,14.5573,-5.1908,-44.2137,0,0,0
-0.2383,0.2397,1.0081,10.8244,-7.7023,-41.8168,0,0,0
-0.1724,0.2498,1.012,6.855,-8.1069,-43.2672,0,0,0
-0.209,0.1873,0.9817,7.2137,-9.3664,-45.3053,0,0,0
-0.1538,0.1804,1.01,11.0305,-7.5344,-44.4198,0,0,0
-0.1494,0.1831,1.0325,9.2519,-2.9771,-42.1832,0,0,0
-0.1445,0.1775,1.0176,8.1374,-2.5725,-39.8931,0,0,0
-0.1294,0.1814,0.9941,7.8244,-0.4504,-33.6031,0,0,0
-0.1589,0.1978,0.9998,6.3206,-0.7481,-26.229,0,0,0
-0.1611,0.1826,1.0027,5.0458,-0.1603,-23.5725,0,0,0
-0.1763,0.1777,0.9773,7.3817,0.5954,-23.2595,0,0,0
-0.1943,0.2036,0.9719,10.1298,0.0916,-25.4809,0,0,0
-0.2444,0.2175,0.9792,11.3511,-1.6183,-26.855,0,0,0
-0.2126,0.2451,1.0159,7.2443,-3.3817,-26.4504,0,0,0
-0.1843,0.199,1.0186,3.9771,-1.5344,-26.9466,0,0,0
-0.1904,0.21,0.9951,2.0992,-0.9466,-23.1756,0,0,0
-0.166,0.1975,1.0051,0.4733,0.4962,-19.313,0,0,0
-0.1494,0.1863,0.9976,-0.7405,1.9542,-13.7023,0,0,0
-0.1853,0.2024,1.0037,-2.3817,1.6641,-8.313,0,0,0
-0.1914,0.2136,0.9995,-5.2366,0.9695,-5.5649,0,0,0
-0.1931,0.2004,0.9951,-6.458,0.6718,-4.084,0,0,0
-0.1755,0.1826,0.991,-5.2672,0.8473,-2.9466,0,0,0
-0.1968,0.2078,0.9966,-4.9313,2.1756,-1.1374,0,0,0
-0.2117,0.1982,1.0024,-5.6031,2.5725,-1.9466,0,0,0
-0.2297,0.2283,0.9802,-7.0076,1.771,-2.3206,0,0,0
-0.2346,0.2278,0.9497,-8.6183,-2.2214,-2.7405,0,0,0
-0.1936,0.189,0.9519,-6.626,-4.8855,-3.1603,0,0,0
-0.1802,0.1948,0.9587,-3.6641,-3.0992,-1.0382,0,0,0
-0.2041,0.1992,0.9878,-1.6718,-1.8855,-2.1298,0,0,0
-0.2007,0.2026,1.0166,-1.2595,-1.2672,-1.5115,0,0,0
-0.1912,0.2063,1.0281,-3.1679,-0.2901,-0.7405,0,0,0
-0.1858,0.2092,1.0171,-4.3359,0.8931,0.1374,0,0,0
-0.2112,0.2153,1.0078,-5.084,1.229,0.2519,0,0,0
-0.1921,0.2107,1.001,-6.7939,0.9008,-0.5954,0,0,0
-0.189,0.1995,0.9819,-5.9237,0.3969,0.2748,0,0,0
-0.1885,0.1995,0.9873,-4.6412,2.1832,0.4427,0,0,0
-0.2009,0.2209,0.989,-4.2901,3.0,0.7481,0,0,0
-0.2041,0.2207,1.001,-5.4656,3.9008,-2.0534,0,0,0
-0.1719,0.2185,1.0198,-6.5878,7.2977,-2.8015,0,0,0
-0.166,0.2092,1.0596,-10.5649,12.8092,-4.687,0,0,0
-0.1926,0.2014,1.0569,-14.0534,17.3359,-6.8779,0,0,0
-0.1799,0.2014,1.0425,-17.0763,21.9237,-9.8015,0,0,0
-0.196,0.197,1.0281,-18.2519,25.6336,-13.6794,0,0,0
-0.1833,0.1973,1.0144,-18.3282,30.0,-17.8931,0,0,0
-0.1833,0.1648,0.9731,-16.1374,32.5954,-18.3282,0,0,0
-0.0266,0.2173,0.9648,-12.2366,51.7634,-24.3053,0,0,0
-0.2329,0.1211,0.9392,-8.3969,57.8092,-17.2595,0,0,0
-0.2976,0.1516,0.9331,-8.8855,51.9008,-11.5496,0,0,0
-0.2646,0.1572,0.9795,-10.1756,46.7939,-6.855,0,0,0
-0.2346,0.1416,0.9915,-13.2137,43.4809,0.5115,0,0,0
-0.2639,0.165,0.9717,-15.9466,43.6947,6.9847,0,0,0
-0.3313,0.1626,0.9343,-16.4962,42.9084,7.4656,0,0,0
-0.3079,0.1636,0.9238,-14.5115,40.0382,5.0,0,0,0
-0.3049,0.1326,0.9348,-12.5649,34.6565,3.8626,0,0,0
-0.2483,0.113,0.9692,-11.4198,33.7634,8.6794,0,0,0
-0.2935,0.1235,0.9612,-10.9847,33.0382,14.1756,0,0,0
-0.3667,0.1379,0.9202,-8.7481,29.8092,14.2672,0,0,0
-0.405,0.1733,0.8906,-6.3893,21.2672,11.8626,0,0,0
-0.4641,0.1843,0.9167,-3.1145,13.2748,3.5191,0,0,0
-0.4175,0.2185,0.958,-4.542,5.3053,-3.5878,0,0,0
-0.3831,0.2041,0.981,-8.6794,3.0534,-6.2901,0,0,0
-0.2585,0.3064,0.9783,-13.2519,7.3969,-10.3588,0,0,0
-0.3101,0.1355,1.0005,-16.687,13.916,-7.2672,0,0,0
-0.2756,0.0977,1.0073,-17.0229,22.2901,-3.9695,0,0,0
-0.2783,0.1157,0.9526,-13.1298,25.5649,-1.7328,0,0,0
-0.3396,0.1069,0.9233,-9.8702,22.9084,1.4656,0,0,0
-0.375,0.1294,0.905,-7.7481,15.4962,2.2824,0,0,0
-0.3618,0.1333,0.9067,-5.855,7.0534,3.0076,0,0,0
-0.3574,0.1367,0.9165,-3.4275,1.458,5.145,0,0,0
-0.3528,0.1313,0.9333,-2.5573,-2.0229,5.7023,0,0,0
-0.3752,0.1492,0.9224,-2.0,-5.7252,4.4733,0,0,0
-0.4016,0.166,0.9316,-0.8244,-11.0687,2.7252,0,0,0
-0.3982,0.1604,0.9568,-3.1908,-16.3664,1.6336,0,0,0
-0.4045,0.1899,0.9482,-7.3588,-25.7252,2.458,0,0,0
-0.3875,0.1523,0.9106,-10.4275,-33.4504,3.9237,0,0,0
-0.3782,0.0835,0.8792,-7.6565,-42.084,7.3206,0,0,0
-0.3066,0.1472,0.8896,-3.6641,-44.4504,9.7328,0,0,0
-0.2722,0.0999,0.9509,0.2824,-38.8931,13.4809,0,0,0
-0.3154,0.1252,0.9482,3.0382,-36.8931,14.9924,0,0,0
-0.3081,0.1465,0.9648,4.6336,-35.771,14.2748,0,0,0
-0.2786,0.1521,0.9934,2.8779,-33.6641,16.4198,0,0,0
-0.3162,0.1899,1.0049,-0.6565,-33.4504,17.3053,0,0,0
-0.3,0.1699,1.0254,-5.4809,-33.2366,15.9847,0,0,0
-0.2766,0.1816,0.9961,-9.229,-33.374,16.626,0,0,0
-0.2485,0.157,0.9949,-9.4198,-29.2366,14.9542,0,0,0
-0.2073,0.1248,0.9939,-6.9084,-23.4198,13.626,0,0,0
-0.2004,0.1104,0.9839,-3.4351,-17.2901,15.3893,0,0,0
-0.2283,0.1223,0.9661,-0.7099,-15.8626,18.9542,0,0,0
-0.2732,0.1812,0.9595,-1.1221,-16.3282,19.5496,0,0,0
-0.2815,0.1533,1.0249,-2.5115,-19.3282,16.229,0,0,0
-0.2424,0.1587,1.0349,-4.2824,-16.2595,14.0687,0,0,0
-0.2334,0.1479,1.0063,-5.4656,-14.9237,16.5038,0,0,0
-0.23,0.1785,0.9888,-7.4656,-18.0,18.7557,0,0,0
-0.2236,0.1599,0.9805,-9.1145,-18.3053,16.7939,0,0,0
-0.2754,0.1089,0.9402,-8.1298,-22.5191,15.6031,0,0,0
-0.241,0.1509,0.9241,-4.3435,-28.0,14.8092,0,0,0
-0.2109,0.1577,0.9807,-1.2824,-30.0305,15.6794,0,0,0
-0.1895,0.1404,1.0537,-1.6947,-23.1374,16.9618,0,0,0
-0.1548,0.1577,1.0469,-3.916,-14.1298,16.6412,0,0,0
-0.188,0.1396,1.0024,-5.1679,-8.6336,16.8092,0,0,0
-0.2119,0.116,0.9785,-4.1221,-7.3969,18.7634,0,0,0
