ax,ay,az,gx,gy,gz,left_click,right_click
0.1145,0.2759,0.9736,-2.6183,1.084,-1.229,0,0,0
0.1167,0.2678,0.9707,-2.3053,0.2061,-1.2977,0,0,0
0.1177,0.2698,0.9644,-1.5878,-0.7557,-0.3053,0,0,0
0.1133,0.2715,0.9531,-1.0305,-2.4046,-0.1527,0,0,0
0.1172,0.2805,0.9788,-0.1527,-2.6336,-0.0763,0,0,0
0.126,0.2866,0.9802,-0.5344,-1.8092,0.0458,0,0,0
0.1196,0.2837,0.9819,-0.3359,-1.3359,-0.1145,0,0,0
0.123,0.2947,0.991,-0.4504,-1.2214,-0.5496,0,0,0
0.1177,0.2979,0.9854,-0.9237,-0.0916,-0.9389,0,0,0
0.1138,0.292,0.9929,-1.7786,0.1069,-1.4962,0,0,0
0.1123,0.2874,0.9749,-2.7176,-1.0382,-1.3359,0,0,0
0.1147,0.2813,0.9812,-2.8244,-1.6489,-0.7023,0,0,0
0.1211,0.2813,0.9893,-2.6489,-1.5878,-0.626,0,0,0
0.1265,0.2876,0.9978,-1.458,-0.8931,-0.1908,0,0,0
0.1279,0.2852,0.9998,-0.6336,0.3511,-0.9466,0,0,0
0.1211,0.2866,0.9895,-0.5496,0.9695,-1.0076,0,0,0
0.115,0.2935,0.9824,-1.4885,0.7863,-0.9542,0,0,0
0.1125,0.2771,0.9722,-1.5573,-0.7099,-0.687,0,0,0
0.1143,0.2869,0.9761,-0.5115,-1.8702,-0.7786,0,0,0
0.1216,0.2937,0.9851,-0.1679,-1.7176,-1.1221,0,0,0
0.1223,0.2756,0.9854,0.3664,-1.6412,-0.4809,0,0,0
0.1309,0.2864,0.9917,0.6641,-1.0,-0.0458,0,0,0
0.1284,0.2896,0.9805,-1.0916,-0.4656,-0.3817,0,0,0
0.1228,0.283,0.9854,-1.2061,-0.5649,-0.2366,0,0,0
0.1116,0.2803,0.9893,-0.9466,-1.4198,0.3206,0,0,0
0.1155,0.283,0.9756,-0.6183,-2.0916,0.8779,0,0,0
0.1189,0.2896,0.9863,-0.1832,-3.1145,1.4733,0,0,0
0.1128,0.2893,0.988,0.542,-4.3588,1.916,0,0,0
0.1118,0.2979,0.9888,0.6031,-5.6412,1.7939,0,0,0
0.1143,0.2976,0.9797,-0.3053,-6.7481,2.0916,0,0,0
0.1187,0.2981,0.9912,-1.0763,-9.0916,2.9618,0,0,0
0.1243,0.2932,0.9871,-2.3664,-9.8092,3.4809,0,0,0
0.1206,0.283,0.9832,-2.855,-11.3359,4.9695,0,0,0
0.1265,0.2817,0.9854,-3.145,-12.2901,5.7099,0,0,0
0.125,0.2864,0.9773,-1.3588,-13.6031,6.9771,0,0,0
0.1934,0.3145,1.0071,-0.4275,-8.2748,3.2748,0,0,0
0.1892,0.3335,1.0464,1.4504,-2.2214,0.3359,0,0,0
0.1628,0.3286,1.0588,6.5267,4.6412,-8.1908,0,0,0
0.1504,0.3835,1.0552,11.3511,10.145,-17.5878,0,0,0
0.1494,0.4163,1.0491,13.8779,13.5038,-29.7099,0,0,0
0.1292,0.3992,1.0583,15.313,15.8397,-38.2519,0,0,0
0.1602,0.3613,1.0449,16.7939,18.9008,-45.3053,0,0,0
0.1401,0.3357,0.968,18.9695,21.6718,-52.1145,0,0,0
0.1177,0.2825,1.0071,26.3435,23.5573,-56.2519,0,0,0
0.1069,0.3589,0.9766,33.2595,22.8626,-61.5496,0,0,0
0.0874,0.3474,0.929,36.4198,25.3435,-66.6031,0,0,0
0.0798,0.3582,0.9407,38.3053,24.1756,-72.6336,0,0,0
0.0342,0.3496,0.9346,40.6336,20.542,-77.2061,0,0,0
0.1045,0.4009,0.9355,41.2214,19.1908,-79.0305,0,0,0
0.0044,0.4065,0.9614,41.8244,13.4656,-76.0916,0,0,0
0.0063,0.4153,0.9287,35.687,8.6183,-70.8168,0,0,0
0.0605,0.3928,0.9246,23.4122,6.7099,-63.4198,0,0,0
-0.0039,0.3982,0.9189,15.5267,0.4656,-52.3359,0,0,0
0.0217,0.3274,0.9207,12.0992,-3.5649,-47.7863,0,0,0
0.0049,0.3687,0.9153,12.9466,-7.2137,-46.6641,0,0,0
0.0767,0.4307,0.9739,15.4809,-6.0076,-50.4962,0,0,0
0.074,0.4736,0.9854,17.0382,-1.145,-58.8092,0,0,0
0.0227,0.4976,0.9868,19.3969,-1.542,-67.687,0,0,0
0.0469,0.4658,0.9934,19.3664,-3.9771,-71.8168,0,0,0
0.0481,0.4155,0.998,11.0229,3.1679,-68.7863,0,0,0
0.0725,0.3706,0.9707,-0.5038,13.9695,-57.626,0,0,0
0.0413,0.2783,0.949,-7.7252,18.916,-43.4656,0,0,0
0.0623,0.2283,0.9534,-8.855,21.1069,-32.2061,0,0,0
-0.0056,0.2766,0.916,-8.6641,22.6794,-24.9695,0,0,0
0.0605,0.2983,0.9172,-8.4733,24.2901,-19.8321,0,0,0
0.0068,0.2952,0.9534,-9.2595,24.9389,-13.8779,0,0,0
0.0181,0.3303,0.968,-10.916,29.0916,-6.2901,0,0,0
-0.042,0.3093,0.9336,-13.2214,31.2061,5.2443,0,0,0
-0.1025,0.3484,0.8828,-18.0229,26.8092,15.5191,0,0,0
-0.0068,0.3286,0.9097,-15.7099,23.1298,17.4198,0,0,0
-0.0498,0.332,0.9075,-13.0,18.5114,15.8397,0,0,0
-0.0376,0.3303,0.9519,-11.2824,16.8931,15.7023,0,0,0
-0.0481,0.3374,0.9695,-11.2748,16.4885,18.9695,0,0,0
0.0188,0.3564,1.0229,-9.9542,19.6641,21.7557,0,0,0
-0.0291,0.3699,1.0032,-9.5725,26.2977,23.1069,0,0,0
-0.0444,0.3665,0.9893,-10.687,30.5878,22.5038,0,0,0
-0.0876,0.3369,0.9509,-12.9237,27.9313,23.4122,0,0,0
-0.1143,0.3521,0.906,-18.916,25.1756,26.6183,0,0,0
-0.0886,0.3396,0.8945,-24.313,17.4427,32.374,0,0,0
-0.0542,0.3071,0.9133,-27.5114,13.9618,37.458,0,0,0
