ax,ay,az,gx,gy,gz,left_click,right_click
0.0808,0.0315,1.033,-4.3435,-6.9542,2.0534,0,0,0
0.0798,0.0295,1.0515,-5.7405,-5.229,2.5267,0,0,0
0.0857,0.0259,1.0518,-6.916,-2.4885,2.8779,0,0,0
0.0896,0.0371,1.0413,-6.5573,-1.4504,3.5267,0,0,0
0.0935,0.0403,1.0437,-5.9237,-1.374,2.2061,0,0,0
0.0925,0.0435,1.0439,-5.1145,-0.855,0.6641,0,0,0
0.0933,0.0344,1.0408,-5.2519,-0.4656,-1.8931,0,0,0
0.0823,0.0208,1.0374,-4.1069,-0.5802,-3.6565,0,0,0
0.0708,0.0188,1.0281,-2.2595,-1.8168,-4.8244,0,0,0
0.0718,0.0083,1.0281,-0.9771,-3.4809,-4.542,0,0,0
0.0791,0.0127,1.0398,-1.0992,-3.4656,-3.8168,0,0,0
0.0757,0.0112,1.0515,-1.6565,-2.3206,-3.5573,0,0,0
0.0823,0.0,1.0505,-2.9542,-0.4198,-3.4122,0,0,0
0.0767,0.0088,1.0254,-3.9771,0.1603,-3.2595,0,0,0
0.074,0.0015,1.0276,-5.1832,0.1985,-3.7481,0,0,0
0.0789,-0.0015,1.0225,-6.0076,0.3817,-3.8855,0,0,0
0.0789,-0.012,1.0356,-6.1298,0.687,-3.5344,0,0,0
0.0793,-0.011,1.0271,-5.4122,0.5649,-3.5573,0,0,0
0.0781,-0.0168,1.0183,-4.916,0.4122,-3.1756,0,0,0
0.0806,-0.0193,1.0059,-4.626,-0.5802,-2.6183,0,0,0
0.0864,-0.0186,1.0059,-4.6947,-1.5802,-2.2061,0,0,0
0.0823,-0.0208,1.0073,-5.0763,-2.0229,-1.6107,0,0,0
0.0879,-0.0151,1.0134,-6.4656,-3.0229,-1.2214,0,0,0
0.0872,-0.0181,1.0303,-6.8092,-2.0076,-0.2443,0,0,0
0.0867,-0.0137,1.0356,-6.7405,-1.1908,0.084,0,0,0
0.0811,-0.0073,1.0281,-5.458,-0.8092,0.4351,0,0,0
0.0869,0.0056,1.0317,-3.458,-1.771,0.2137,0,0,0
0.0801,0.0115,1.022,-1.9313,-2.9618,-0.2977,0,0,0
0.0879,0.012,1.0195,-1.2366,-3.7634,-1.7176,0,0,0
0.0903,0.0095,1.0142,-1.5496,-4.084,-2.5649,0,0,0
0.0847,0.01,1.0295,-2.3588,-3.6107,-3.2366,0,0,0
0.0862,0.0059,1.0322,-3.5649,-2.7023,-2.7176,0,0,0
0.0784,0.0007,1.0442,-5.1985,-1.2595,-2.3893,0,0,0
0.0862,-0.0066,1.0491,-5.9237,-0.2366,-1.4962,0,0,0
0.0876,-0.0078,1.0432,-5.4122,0.5649,-0.8702,0,0,0
0.0859,-0.0063,1.0422,-4.0305,0.7328,-0.5954,0,0,0
0.0813,-0.0049,1.0317,-2.313,-0.3359,-1.3893,0,0,0
0.0876,-0.0039,1.031,-1.9389,-0.9542,-2.1756,0,0,0
0.092,-0.0134,1.0269,-1.9466,-1.4733,-2.1298,0,0,0
0.0938,-0.0164,1.0266,-2.313,-1.5725,-1.9847,0,0,0
0.0925,-0.0129,1.0342,-2.6489,-1.3969,-1.5496,0,0,0
0.092,-0.0144,1.0349,-2.7176,-0.5878,-1.5802,0,0,0
0.0857,-0.0083,1.0312,-2.1374,0.1756,-1.6412,0,0,0
0.0854,-0.0115,1.0261,-1.0153,0.5496,-1.7023,0,0,0
0.082,-0.0066,1.0042,0.3206,0.5878,-1.8321,0,0,0
0.0771,-0.0093,0.9985,1.3053,-0.5954,-1.7786,0,0,0
0.0754,-0.011,0.991,1.6107,-2.0382,-2.2061,0,0,0
0.0789,-0.0149,0.998,0.916,-3.4962,-1.9466,0,0,0
0.0764,-0.0164,1.0095,-0.9084,-4.0992,-1.2901,0,0,0
0.0811,-0.0186,1.0171,-2.313,-3.687,-0.4427,0,0,0
0.0806,-0.0173,1.041,-3.8092,-2.2595,0.6489,0,0,0
0.0813,-0.0098,1.0474,-4.2137,-0.9008,1.5878,0,0,0
0.0847,-0.0095,1.0515,-3.3664,-0.2137,2.1756,0,0,0
0.092,-0.0063,1.0476,-2.145,0.2519,1.8626,0,0,0
0.0864,0.0068,1.033,-1.0763,-0.229,0.4962,0,0,0
0.0896,0.0044,1.0366,0.0687,-1.0992,-1.4198,0,0,0
0.0886,-0.0098,1.0303,0.3282,-1.6412,-2.8015,0,0,0
0.0796,-0.0144,1.0325,0.626,-2.1832,-2.458,0,0,0
0.0798,-0.0176,1.0361,1.1832,-3.1679,-1.6107,0,0,0
0.084,-0.0105,1.0374,1.9924,-3.8702,-0.0229,0,0,0
0.0859,0.0046,1.0425,2.2214,-3.6641,0.4198,0,0,0
0.0955,0.0161,1.0481,1.9466,-2.4962,0.6412,0,0,0
0.1042,0.0215,1.0466,1.3359,-0.9237,0.0,0,0,0
0.1018,0.0286,1.0469,0.5115,0.6183,-0.9313,0,0,0
0.0938,0.0273,1.0251,0.1985,1.6794,-2.4809,0,0,0
0.0908,0.0144,1.0007,-0.0687,0.9618,-3.8931,0,0,0
0.085,0.0085,0.9917,0.0305,-0.4656,-4.1145,0,0,0
0.0791,-0.0005,0.9861,0.6336,-2.1756,-3.7863,0,0,0
0.0796,-0.0005,1.001,0.8015,-3.458,-2.5573,0,0,0
0.0857,0.0046,1.0105,0.8168,-3.6947,-0.9847,0,0,0
0.0947,0.0088,1.0249,0.0916,-3.145,-0.2672,0,0,0
0.0974,0.0129,1.0371,-0.5802,-1.4427,-0.1298,0,0,0
0.0999,0.012,1.0291,-1.0611,-0.7481,-0.1145,0,0,0
0.1062,0.0085,1.0264,-1.1145,-0.5344,-0.3359,0,0,0
0.1045,0.0122,1.0215,-0.9618,-0.8397,-0.4962,0,0,0
0.105,0.0195,1.0691,-1.5191,-0.771,-1.6641,0,0,0
0.1113,0.0002,1.0508,-2.4046,0.5725,-1.542,0,0,0
0.1021,0.002,1.0364,-3.3435,2.0611,-1.8015,0,0,0
0.0977,-0.0103,1.0303,-4.0458,2.626,-1.9389,0,0,0
0.0928,-0.0161,1.0288,-3.1908,2.2901,-2.1908,0,0,0
0.0854,-0.0154,1.0222,-1.2214,1.3664,-2.3664,0,0,0
0.0911,-0.0403,1.0569,1.7328,0.3893,-2.3282,0,0,0
0.0833,-0.021,1.0439,1.6641,1.0687,-1.5954,0,0,0
0.0742,-0.0159,1.0068,3.7786,0.7939,-1.4504,0,0,0
0.0764,-0.0051,1.0195,3.3435,-0.8015,-2.0,0,0,0
0.0818,-0.0073,1.022,3.2061,-1.9008,-2.0382,0,0,0
0.0828,-0.0022,1.0361,3.2061,-2.5191,-1.2519,0,0,0
0.0764,0.0098,1.0249,3.4351,-3.2977,-1.1756,0,0,0
0.0906,0.009,1.0195,3.9313,-4.2748,-1.1069,0,0,0
0.0947,0.0193,1.0261,4.084,-4.855,-1.1985,0,0,0
0.0896,0.0139,1.0288,4.0916,-3.4046,-1.0916,0,0,0
0.0876,0.0154,1.0256,3.5573,-2.5573,-1.2214,0,0,0
0.0991,0.0237,1.0149,3.3511,-2.7099,-0.7099,0,0,0
0.1025,0.0344,1.0308,1.5496,-2.0,-0.5878,0,0,0
0.1035,0.0381,1.04,-0.542,-0.771,-0.6489,0,0,0
0.1067,0.0322,1.0286,-3.0382,0.6183,-0.2137,0,0,0
0.1001,0.0313,1.0217,-4.9466,1.3969,-0.229,0,0,0
0.0854,0.0332,1.0125,-7.1985,2.0076,-1.1145,0,0,0
0.0815,0.0271,1.0095,-7.145,1.6412,-2.0611,0,0,0
0.0786,0.0142,1.0259,-6.9466,1.5191,-2.542,0,0,0
0.0781,0.0027,1.0225,-5.4122,0.0763,-2.2595,0,0,0
0.0798,-0.0044,1.0334,-3.5954,-1.0229,-0.7252,0,0,0
0.0833,0.0007,1.0339,-1.7557,-1.9847,0.3282,0,0,0
0.0918,0.0081,1.0391,-1.1756,-2.4733,0.8626,0,0,0
0.0942,0.0105,1.0203,-1.1221,-2.6641,0.3664,0,0,0
0.0967,0.0212,1.0259,-0.5115,-2.313,-0.8397,0,0,0
0.0979,0.0144,1.0225,-0.7863,-1.7023,-1.6794,0,0,0
0.1035,0.0146,1.0183,-1.771,-1.5191,-1.9924,0,0,0
0.1006,0.0066,1.0107,-2.542,-0.9313,-1.3359,0,0,0
0.1021,0.0042,1.0271,-3.7405,-0.3435,-0.3817,0,0,0
0.1057,-0.0051,1.0349,-3.6031,0.4733,0.6947,0,0,0
0.0989,0.0042,1.033,-3.0916,0.8092,1.626,0,0,0
0.106,0.0007,1.0222,-1.8779,0.2977,1.687,0,0,0
0.1072,0.0132,1.0312,-1.0992,-0.4046,1.687,0,0,0
0.0996,0.0127,1.0249,-1.0687,-0.0229,1.4351,0,0,0
0.1067,0.011,1.0325,-0.7863,-0.0305,1.687,0,0,0
0.0979,0.0127,1.0361,-2.7099,0.9389,1.9466,0,0,0
0.1023,0.0061,1.0303,-3.5802,0.5878,2.6107,0,0,0
0.1025,-0.0095,1.0435,-4.2214,-1.9466,3.7099,0,0,0
0.0842,-0.0369,1.0471,-4.7099,0.2672,3.7405,0,0,0
0.0767,-0.0613,1.054,-3.8397,-0.6565,7.1374,0,0,0
0.0657,-0.0815,1.062,-4.6641,1.3359,12.7176,0,0,0
0.0596,-0.0815,1.0549,-6.4046,1.8779,20.5267,0,0,0
0.071,-0.0737,1.0696,-8.1145,3.3359,28.2748,0,0,0
0.0769,-0.0437,1.0676,-7.8855,4.9313,34.1221,0,0,0
0.0916,-0.0496,1.0527,-7.2748,5.4504,38.3282,0,0,0
0.0884,-0.0251,1.0439,-7.626,4.5191,40.1985,0,0,0
0.0945,-0.0513,1.0066,-7.9542,3.6718,41.0382,0,0,0
0.0757,-0.0247,1.0037,-10.313,1.1985,43.4733,0,0,0
0.0886,-0.0366,1.0081,-13.2519,-1.6718,45.5878,0,0,0
0.0898,-0.032,1.0193,-16.8244,-0.7176,48.8473,0,0,0
0.0906,-0.0361,1.0398,-21.4351,1.9618,50.8702,0,0,0
