ax,ay,az,gx,gy,gz,left_click,right_click
-0.053,0.1758,0.9199,-0.3817,-9.6947,-0.5267,0,0,0
-0.0647,0.137,0.9033,-4.5649,-16.229,1.0534,0,0,0
-0.0508,0.1289,0.8777,-8.6489,-22.2366,3.9618,0,0,0
-0.0581,0.0923,0.8494,-11.8015,-30.6565,8.5038,0,0,0
-0.0613,0.1125,0.8545,-9.0611,-42.6565,13.0153,0,0,0
-0.0825,0.144,0.9229,-4.1221,-53.1756,16.0916,0,0,0
-0.0505,0.1743,1.0083,2.8855,-56.3969,17.1145,0,0,0
-0.0168,0.2124,1.0537,8.1145,-55.4046,16.9847,0,0,0
-0.0037,0.2617,1.0774,10.0611,-51.7099,15.7863,0,0,0
0.0295,0.2908,1.0723,10.7939,-45.3817,10.6565,0,0,0
0.0332,0.2542,0.9998,10.5954,-40.8779,4.4198,0,0,0
0.0217,0.2205,0.9456,4.7176,-41.8626,2.3282,0,0,0
0.012,0.2114,0.9238,-2.6107,-46.4962,3.5496,0,0,0
0.0291,0.2432,0.9509,-6.9771,-50.9924,3.626,0,0,0
0.0405,0.2483,1.0076,-7.3435,-53.1756,1.9618,0,0,0
0.0688,0.2639,1.0867,-7.6107,-48.3282,-1.9618,0,0,0
0.0596,0.2493,1.1169,-0.9695,-41.687,-2.5573,0,0,0
0.0867,0.2429,1.0759,5.771,-36.3664,-4.2214,0,0,0
0.0918,0.2356,1.0027,5.4198,-33.6031,-6.1985,0,0,0
0.0803,0.2373,0.9697,4.3206,-36.1527,-6.9008,0,0,0
0.083,0.2273,0.9775,1.7863,-39.1679,-7.5802,0,0,0
0.0911,0.2185,1.0022,0.2366,-41.855,-6.7634,0,0,0
0.1396,0.2117,1.575,5.0076,-19.8397,-7.5191,0,0,0
0.1023,0.2593,1.1326,18.3893,2.5344,-8.6412,0,0,0
0.1128,0.28,0.8472,17.1374,-21.9313,-6.3664,0,0,0
0.1101,0.2847,1.0303,14.6183,-26.2366,-7.5878,0,0,0
0.1245,0.3069,0.9678,14.6947,-27.7405,-1.9695,0,0,0
0.1138,0.2695,1.0696,0.7557,-25.9084,-10.916,0,0,0
0.1167,0.1824,1.0286,-3.0992,-26.7939,-11.5344,0,0,0
0.1091,0.3044,0.8604,1.0229,-32.1527,-12.3206,0,0,0
0.1279,0.27,0.9277,-5.8321,-31.1679,-16.313,0,0,0
0.1313,0.2122,1.0601,-6.1832,-31.9389,-17.5114,0,0,0
0.1194,0.2415,0.9963,-2.374,-30.7786,-17.3282,0,0,0
0.1333,0.1685,1.0176,-8.4885,-28.0763,-16.5878,0,0,0
0.134,0.1274,1.0105,-7.5267,-23.0382,-14.6412,0,0,0
0.1372,0.0933,1.0078,-10.229,-23.1527,-12.5115,0,0,0
0.1111,0.0732,1.2166,-13.1221,-6.374,-5.8779,0,0,0
0.1016,0.1335,0.9939,-7.4962,-0.6107,-1.1221,0,0,0
0.1575,0.1636,0.9727,-2.1603,-10.0458,2.5802,0,0,0
0.1646,0.179,0.5789,-8.3435,-24.3893,6.6183,0,0,0
0.1809,0.2219,1.0647,7.8244,-32.8702,8.7099,0,0,0
0.2187,0.1321,1.3381,29.1374,-7.5649,19.7863,0,0,0
0.3257,0.2305,0.5393,33.7176,-29.8473,24.1145,0,0,0
0.4287,0.4609,1.0063,31.7863,-38.2595,0.4198,0,0,0
0.2964,0.3599,1.2498,14.145,-31.6031,-18.3206,0,0,0
0.2139,0.291,1.0718,1.5267,-31.6336,-15.7023,0,0,0
0.3035,0.2986,0.9531,1.4046,-43.6031,-14.8931,0,0,0
0.2583,0.384,0.6062,16.0611,-64.0916,-19.3969,0,0,0
0.3792,0.3845,0.7256,30.8397,-93.0916,-24.8626,0,0,0
0.394,0.3369,0.9343,29.5878,-102.9466,-33.4504,0,0,0
0.3274,0.178,1.3494,19.0611,-80.4275,-30.916,0,0,0
0.175,0.1516,1.3503,8.4885,-37.5878,-18.9695,0,0,0
0.2168,0.1191,1.2163,11.9695,-14.2061,-13.4656,0,0,0
0.1455,0.0122,1.2505,20.7786,12.8626,-3.6641,0,0,0
