ax,ay,az,gx,gy,gz,left_click,right_click
-0.1917,0.3384,0.9458,-1.7863,-0.3435,-0.5802,0,0,0
-0.1936,0.344,0.9565,-1.7252,-0.5344,-0.5267,0,0,0
-0.1899,0.3406,0.9514,-1.6947,-0.458,-0.4122,0,0,0
-0.1887,0.3438,0.9526,-1.6412,-0.5038,-0.3206,0,0,0
-0.1895,0.3442,0.9543,-1.8244,-0.2977,-0.6489,0,0,0
-0.1897,0.3459,0.9492,-1.9008,-0.0076,-0.4351,0,0,0
-0.1968,0.3364,0.9473,-1.9771,-0.1221,-0.4656,0,0,0
-0.1982,0.3418,0.9504,-1.6641,-0.2595,-0.6107,0,0,0
-0.1914,0.342,0.9421,-1.8168,-0.374,-0.4504,0,0,0
-0.1921,0.3396,0.9541,-1.6412,-0.6412,-0.4504,0,0,0
-0.1892,0.3435,0.9536,-1.4885,-0.4733,-0.6031,0,0,0
-0.1875,0.3406,0.948,-1.9313,-0.2137,-0.771,0,0,0
-0.1909,0.3428,0.9495,-1.6031,-0.2214,-0.855,0,0,0
-0.1914,0.3416,0.9573,-1.6107,-0.5725,-0.7634,0,0,0
-0.1936,0.3435,0.947,-1.8321,-0.458,-0.4962,0,0,0
-0.1873,0.3438,0.9517,-2.1145,-0.4504,-0.5496,0,0,0
-0.1914,0.3445,0.9514,-1.9237,-0.458,-0.5115,0,0,0
-0.1875,0.3447,0.9553,-1.5725,-0.1908,-0.8015,0,0,0
-0.1885,0.3408,0.9531,-1.5802,-0.3588,-0.7328,0,0,0
-0.1892,0.3411,0.9519,-1.7939,-0.2214,-0.7786,0,0,0
-0.1919,0.3408,0.9556,-1.5038,-0.1985,-0.6794,0,0,0
-0.1909,0.3442,0.9497,-1.6565,-0.3664,-0.4198,0,0,0
-0.1917,0.3442,0.9495,-1.8779,-0.3359,-0.5191,0,0,0
-0.1938,0.3411,0.9556,-1.771,-0.5954,-0.2901,0,0,0
-0.1899,0.3396,0.9531,-1.8473,-0.4122,-0.3359,0,0,0
-0.1895,0.3411,0.9524,-1.7252,-0.2443,-0.6107,0,0,0
-0.1919,0.3467,0.9502,-1.6107,-0.3359,-0.7023,0,0,0
-0.1938,0.3408,0.9575,-1.5725,-0.2672,-0.5344,0,0,0
-0.1956,0.3433,0.9565,-1.626,-0.458,-0.4122,0,0,0
-0.1938,0.3357,0.9561,-1.6336,-0.4962,-0.5649,0,0,0
-0.1882,0.3398,0.9492,-1.5802,-0.313,-0.3435,0,0,0
-0.1921,0.3447,0.9492,-1.6565,-0.145,-0.7252,0,0,0
-0.1924,0.3474,0.9517,-1.8015,-0.4198,-0.5115,0,0,0
-0.1934,0.3413,0.9558,-1.9237,-0.3206,-0.6031,0,0,0
-0.1929,0.3435,0.9475,-1.7557,-0.2824,-0.8397,0,0,0
-0.1909,0.3406,0.9478,-1.7557,-0.542,-0.5038,0,0,0
-0.1885,0.3459,0.9495,-2.1908,-0.5954,-0.5344,0,0,0
-0.1909,0.3362,0.9612,-1.8397,-0.2977,-0.4733,0,0,0
-0.1875,0.3384,0.9607,-1.4962,-0.2672,-0.4885,0,0,0
-0.1895,0.3425,0.95,-1.6336,-0.5344,-0.6031,0,0,0
-0.1931,0.3401,0.9507,-1.6031,-0.2824,-0.5496,0,0,0
-0.1931,0.3433,0.95,-1.5802,-0.374,-0.7099,0,0,0
-0.1914,0.3447,0.9507,-1.7481,-0.6489,-0.5954,0,0,0
-0.1926,0.3452,0.9553,-1.7405,-0.6565,-0.3588,0,0,0
-0.1909,0.3374,0.9517,-2.145,-0.458,-0.374,0,0,0
-0.1904,0.3435,0.9521,-1.7557,-0.374,-0.8015,0,0,0
-0.1929,0.3438,0.9521,-1.9695,-0.4351,-0.5802,0,0,0
-0.1899,0.344,0.9539,-1.6718,-0.3893,-0.4809,0,0,0
-0.1907,0.3364,0.9519,-1.771,-0.1221,-0.7099,0,0,0
-0.1919,0.3416,0.9419,-1.8168,-0.374,-0.7863,0,0,0
-0.1943,0.3416,0.9563,-1.8321,-0.3435,-0.3817,0,0,0
-0.1904,0.3401,0.9553,-1.9237,-0.5115,-0.4198,0,0,0
-0.1912,0.3389,0.9492,-1.8779,-0.5573,-0.3511,0,0,0
-0.1865,0.3423,0.9514,-1.5802,-0.458,-0.4122,0,0,0
-0.1921,0.3418,0.9495,-1.7557,-0.2366,-0.6107,0,0,0
-0.1936,0.3413,0.957,-2.0153,-0.5191,-0.626,0,0,0
-0.1897,0.3459,0.9509,-1.8244,0.0305,-0.6107,0,0,0
-0.1885,0.343,0.9573,-1.8702,-0.4809,-0.5954,0,0,0
-0.1917,0.3403,0.9497,-1.916,-0.3053,-0.4733,0,0,0
-0.1929,0.3403,0.9502,-1.7405,-0.7252,-0.3588,0,0,0
-0.1919,0.343,0.9458,-1.687,-0.4198,-0.6107,0,0,0
-0.1882,0.3413,0.9546,-1.6336,-0.4733,-0.4504,0,0,0
-0.1863,0.342,0.95,-1.6489,-0.3817,-0.3053,0,0,0
-0.1904,0.3413,0.9568,-1.6947,-0.3359,-0.458,0,0,0
-0.1943,0.3369,0.9536,-1.855,-0.2901,-0.7023,0,0,0
-0.1892,0.3423,0.9495,-1.9237,-0.6031,-0.4809,0,0,0
-0.1936,0.3442,0.9565,-1.916,-0.2443,-0.6489,0,0,0
-0.1907,0.343,0.9463,-2.0076,-0.4198,-0.4275,0,0,0
-0.1897,0.3364,0.95,-1.8397,-0.5802,-0.5802,0,0,0
-0.1899,0.3403,0.9563,-1.6947,-0.5725,-0.5038,0,0,0
-0.1917,0.3406,0.946,-1.4885,-0.3282,-0.5649,0,0,0
-0.1934,0.3455,0.9529,-1.7405,-0.313,-0.4198,0,0,0
-0.1895,0.342,0.9529,-1.5954,-0.3435,-0.5649,0,0,0
-0.1909,0.344,0.9561,-1.3588,-0.3664,-0.5496,0,0,0
-0.1914,0.3411,0.9583,-1.687,-0.4122,-0.7176,0,0,0
-0.196,0.344,0.9526,-1.6412,-0.5115,-0.4656,0,0,0
-0.188,0.3401,0.9529,-1.7252,-0.5267,-0.4046,0,0,0
-0.1941,0.3435,0.9504,-1.5725,-0.3206,-0.4351,0,0,0
-0.1895,0.3428,0.9443,-1.6183,-0.3817,-0.4962,0,0,0
-0.1929,0.3413,0.9517,-1.5878,-0.5267,-0.7176,0,0,0
-0.1936,0.3394,0.948,-1.6947,-0.4809,-0.6183,0,0,0
-0.1895,0.3447,0.9475,-1.9313,-0.0916,-0.6794,0,0,0
-0.1899,0.3394,0.9534,-1.4351,-0.2901,-0.3511,0,0,0
-0.1907,0.3411,0.9539,-1.6947,-0.3588,-0.626,0,0,0
-0.1951,0.3372,0.9482,-1.5649,-0.3435,-0.6107,0,0,0
-0.1899,0.3408,0.9517,-1.542,-0.2824,-0.5878,0,0,0
-0.188,0.3472,0.9546,-1.6947,-0.084,-0.5954,0,0,0
-0.1914,0.344,0.9531,-1.5038,-0.4962,-0.5649,0,0,0
-0.1904,0.3442,0.9568,-1.6031,-0.4351,-0.4885,0,0,0
-0.1912,0.3447,0.9548,-1.6641,-0.4275,-0.4656,0,0,0
-0.1929,0.3462,0.9509,-1.6336,-0.4656,-0.6031,0,0,0
-0.1919,0.3447,0.9543,-1.8626,-0.4046,-0.5802,0,0,0
-0.1921,0.3396,0.9534,-1.8779,-0.4733,-0.4733,0,0,0
-0.1953,0.3408,0.9475,-1.8321,-0.7176,-0.3893,0,0,0
-0.1899,0.3425,0.9465,-1.7176,-0.626,-0.7634,0,0,0
-0.1909,0.3403,0.9543,-1.5191,-0.4198,-0.5115,0,0,0
-0.1904,0.3435,0.9529,-1.7405,-0.374,-0.7481,0,0,0
-0.1926,0.3438,0.9534,-1.7863,-0.4198,-0.4198,0,0,0
-0.1934,0.3438,0.9536,-1.6947,-0.4275,-0.5496,0,0,0
-0.1941,0.3416,0.9609,-1.855,-0.3969,-0.5038,0,0,0
-0.1892,0.3442,0.948,-1.8626,-0.542,-0.8015,0,0,0
-0.1985,0.3469,0.9475,-1.9389,-0.7328,-0.855,0,0,0
-0.1897,0.3376,0.949,-1.6412,-0.9695,-0.1985,0,0,0
-0.1936,0.3335,0.9517,-1.0229,-0.4275,-0.5267,0,0,0
-0.2083,0.3628,0.9519,-1.2672,-1.5573,-1.0,0,0,0
-0.1855,0.3503,0.9387,-2.7786,-1.3893,-0.7099,0,0,0
-0.1797,0.3315,0.9521,-2.8244,-1.4885,-0.4809,0,0,0
-0.1833,0.3176,0.9343,-1.5267,-1.4504,0.8855,0,0,0
-0.0244,0.2786,1.0667,14.2824,0.9389,3.8015,0,0,0
