ax,ay,az,gx,gy,gz,left_click,right_click
0.0249,0.0942,1.0168,-4.3588,0.7405,-2.8779,0,0,0
0.0266,0.0833,1.0215,-5.1985,1.0534,-2.2824,0,0,0
0.0208,0.0796,1.0388,-4.7252,1.4962,-1.2443,0,0,0
0.0125,0.0757,1.0256,-3.0382,1.2977,-0.6183,0,0,0
0.0129,0.0774,1.0232,-1.1221,0.0229,-0.1679,0,0,0
0.0132,0.0828,1.0208,0.0076,-1.1603,0.0305,0,0,0
0.0256,0.0842,1.0168,-0.1985,-1.9542,0.4427,0,0,0
0.0247,0.0957,1.032,-1.1221,-1.3359,1.1756,0,0,0
0.03,0.0979,1.0349,-1.7634,-0.313,1.1298,0,0,0
0.0298,0.103,1.0317,-2.7405,0.8702,0.9237,0,0,0
0.0288,0.1018,1.0352,-2.6489,1.1679,0.2443,0,0,0
0.0239,0.1021,1.0139,-2.1298,1.2061,-0.8626,0,0,0
0.0205,0.0957,1.0015,-1.8015,-0.5496,-1.6489,0,0,0
0.0164,0.084,1.0078,-1.3893,-1.5573,-1.8015,0,0,0
0.0154,0.0879,1.0149,-0.542,-2.9084,-1.3359,0,0,0
0.0234,0.082,1.0342,-0.0305,-2.6031,-0.3664,0,0,0
0.0227,0.0854,1.0449,-0.313,-1.8321,0.4427,0,0,0
0.0215,0.0935,1.0354,-0.458,-0.5115,0.7328,0,0,0
0.0244,0.0867,1.0142,-0.2366,0.0611,0.6412,0,0,0
0.0222,0.0898,1.0037,-1.0153,-0.6183,0.8855,0,0,0
0.0232,0.0867,1.0039,-1.8015,-0.9237,0.626,0,0,0
0.022,0.0847,1.0081,-1.2748,-1.9618,1.5038,0,0,0
0.0242,0.0969,1.0312,-2.2519,-1.916,1.7939,0,0,0
0.031,0.0974,1.0366,-2.8931,-1.229,1.9389,0,0,0
0.0337,0.1067,1.0322,-3.1603,-0.4733,1.374,0,0,0
0.0349,0.1169,1.0269,-2.9542,0.1832,0.2595,0,0,0
0.0396,0.1106,1.0227,-3.0611,-0.1069,-1.1298,0,0,0
0.033,0.1147,1.0212,-2.8397,0.2366,-2.8015,0,0,0
0.0225,0.1038,1.0103,-2.7786,-0.2748,-4.3969,0,0,0
0.0178,0.0901,1.0107,-3.0458,-0.9084,-4.8092,0,0,0
0.0137,0.0776,1.0247,-3.6031,-1.0916,-3.1679,0,0,0
0.0078,0.0747,1.0232,-3.5649,-1.855,-0.8397,0,0,0
0.0125,0.0735,1.0281,-2.542,-2.458,0.9084,0,0,0
0.01,0.0884,1.0247,-1.0687,-3.6489,1.1145,0,0,0
0.021,0.0984,1.0374,0.3282,-4.1145,0.084,0,0,0
0.0347,0.0962,1.0466,1.3359,-3.7328,-0.4809,0,0,0
0.0376,0.0991,1.0439,0.3282,-2.8168,-0.8931,0,0,0
0.0413,0.0952,1.043,-0.2901,-1.2672,-1.0763,0,0,0
0.0386,0.0938,1.0439,-1.3664,0.0153,-1.0763,0,0,0
0.0317,0.0806,1.0303,-2.3511,0.7557,-1.0382,0,0,0
0.0283,0.085,1.0298,-3.3053,0.0687,-0.2977,0,0,0
0.0261,0.082,1.0413,-3.0458,-0.0534,0.3282,0,0,0
0.0254,0.0876,1.0422,-2.6107,0.542,0.7939,0,0,0
0.0215,0.0813,1.0393,-2.2137,0.687,0.8168,0,0,0
0.019,0.0867,1.0195,-1.0763,0.1603,1.4046,0,0,0
0.0266,0.0903,1.0208,-0.8931,-0.2595,1.8855,0,0,0
0.0291,0.084,1.032,-1.5038,-0.7252,2.6489,0,0,0
0.0256,0.0872,1.0286,-1.7328,-0.5191,2.8855,0,0,0
0.0222,0.0923,1.0273,-2.1908,0.3817,3.2595,0,0,0
0.0251,0.0889,1.0295,-2.5725,0.6794,3.5802,0,0,0
0.0303,0.0942,1.0239,-3.313,1.0763,3.9313,0,0,0
0.0278,0.0933,1.0186,-4.3359,0.8244,3.8779,0,0,0
0.0293,0.1003,1.0239,-5.2672,2.0458,3.4962,0,0,0
0.0325,0.0969,1.0315,-5.9542,2.916,2.7328,0,0,0
0.0247,0.0906,1.0256,-6.6183,3.6031,1.8931,0,0,0
0.0251,0.0835,1.0215,-6.1527,3.2137,1.7634,0,0,0
0.0278,0.0779,1.0383,-4.1908,2.5725,1.8397,0,0,0
0.0264,0.0798,1.0273,-1.4046,1.0992,2.0611,0,0,0
0.019,0.0935,1.0125,0.8779,-0.9542,1.0687,0,0,0
0.0198,0.0916,1.0229,1.7023,-2.145,-0.1145,0,0,0
0.0237,0.0811,1.0413,1.2595,-1.687,-0.7863,0,0,0
0.0229,0.0642,1.05,-0.1603,-0.2214,0.1221,0,0,0
0.0208,0.0601,1.0522,-1.2595,1.7557,2.4198,0,0,0
0.0188,0.0583,1.0566,-2.7786,4.1679,4.9542,0,0,0
0.0125,0.0471,1.0378,-3.2214,6.1298,7.9466,0,0,0
0.0,0.0334,1.0398,-4.6031,6.0916,10.916,0,0,0
-0.0144,0.0173,1.0435,-5.2672,6.5344,15.4351,0,0,0
-0.0144,0.0208,1.0361,-5.3359,6.4275,21.3435,0,0,0
-0.0034,0.0242,1.0261,-7.3511,7.1679,28.0458,0,0,0
0.0039,0.0493,1.0181,-9.4275,8.9084,34.0458,0,0,0
-0.0088,0.072,1.0068,-13.2366,10.4656,36.7099,0,0,0
-0.009,0.0715,0.9819,-14.9695,10.4656,38.2519,0,0,0
0.0007,0.0718,0.9875,-16.6718,8.7863,40.3664,0,0,0
0.0059,0.0791,0.9905,-16.9695,6.771,42.855,0,0,0
0.0159,0.0894,1.002,-15.9008,5.9618,44.1527,0,0,0
0.0195,0.1238,1.0015,-15.2595,5.7176,42.7939,0,0,0
0.0193,0.1287,0.9932,-14.8931,5.8168,40.145,0,0,0
0.0149,0.0857,0.9651,-11.7252,3.0763,39.0992,0,0,0
0.0217,0.0669,0.9744,-19.0,2.0153,38.2977,0,0,0
0.0254,0.0659,1.0317,-19.7634,1.7328,38.916,0,0,0
0.0281,0.0703,1.0781,-19.9618,5.1679,39.1679,0,0,0
0.0134,0.061,1.0842,-19.0458,7.374,36.8931,0,0,0
0.0115,0.0615,1.0879,-16.2901,8.7252,34.2519,0,0,0
0.0146,0.0579,1.061,-13.4504,8.0534,31.0458,0,0,0
0.0183,0.0569,1.0525,-8.9542,6.0458,27.6107,0,0,0
0.0178,0.0625,1.0454,-4.916,3.3817,23.313,0,0,0
0.0149,0.0681,1.0637,-2.3359,1.6183,19.3817,0,0,0
0.0154,0.0474,1.0588,-1.6641,-0.0458,17.542,0,0,0
0.0183,0.0352,1.0503,-0.3435,-0.8931,17.0687,0,0,0
0.021,0.0383,1.041,0.6794,-0.8702,16.9618,0,0,0
0.0232,0.0454,1.0305,0.2519,-1.0076,16.6336,0,0,0
0.0269,0.0667,1.0464,0.3893,0.1908,15.2443,0,0,0
0.0332,0.0808,1.0322,0.6718,0.5496,11.9695,0,0,0
0.0337,0.0828,1.0334,0.1985,0.7252,8.458,0,0,0
0.0225,0.0735,1.0317,-0.4046,0.4046,5.0,0,0,0
0.0146,0.0728,1.0337,0.7328,0.6107,2.2748,0,0,0
0.0085,0.0483,1.0286,0.2824,0.6718,1.6107,0,0,0
0.0037,0.0398,1.0205,-0.7557,0.458,1.9924,0,0,0
0.0029,0.0396,1.0156,-2.4504,1.5496,3.1069,0,0,0
-0.0029,0.0293,1.0039,-2.9847,1.3817,4.4351,0,0,0
-0.01,0.032,0.9951,-3.2977,0.9237,5.7634,0,0,0
-0.0015,0.0378,0.9934,-3.0611,-0.8779,5.687,0,0,0
0.0,0.0522,1.0259,-3.8473,-0.6336,5.6107,0,0,0
0.0127,0.0535,1.0259,-3.4122,0.4046,4.9618,0,0,0
0.0068,0.0586,1.0215,-3.5878,1.6412,4.1527,0,0,0
0.0107,0.0667,1.0403,-7.0229,3.7634,4.0534,0,0,0
0.0071,0.0559,1.0305,-8.8626,6.0687,3.7328,0,0,0
0.0015,0.0483,1.0352,-8.9618,7.8702,3.1603,0,0,0
-0.01,0.0488,1.0215,-6.6031,8.3359,2.3664,0,0,0
-0.0195,0.0452,1.001,-3.7405,5.855,1.3053,0,0,0
-0.019,0.0403,0.9841,-1.3588,0.916,0.6489,0,0,0
-0.0264,0.0374,0.9966,0.6718,-3.0458,-0.1221,0,0,0
-0.0286,0.0383,1.0195,1.6412,-5.0076,-0.2214,0,0,0
-0.0146,0.0239,1.0247,1.626,-6.0687,-0.1069,0,0,0
-0.0112,0.0288,1.0344,1.7023,-6.0687,0.1985,0,0,0
-0.0122,0.0344,1.0386,1.626,-5.3817,0.3435,0,0,0
0.0029,0.0356,1.0474,1.0229,-4.145,1.3664,0,0,0
0.0054,0.0393,1.0605,0.1298,-2.2061,1.458,0,0,0
-0.0017,0.0444,1.0322,-1.0153,-0.6031,1.0305,0,0,0
0.0039,0.0415,1.0342,-2.5191,0.3359,1.2061,0,0,0
0.0061,0.0381,1.0427,-3.8321,0.8779,2.2366,0,0,0
0.0002,0.0425,1.0322,-3.771,1.1985,2.3282,0,0,0
0.0015,0.0461,1.0347,-2.2137,0.7939,1.7634,0,0,0
0.0063,0.0583,1.0286,-1.0153,0.2748,1.1985,0,0,0
0.01,0.0557,1.0266,-0.5649,0.1527,-0.1908,0,0,0
0.011,0.0559,1.0269,-0.229,0.0534,-1.7023,0,0,0
0.0083,0.0581,1.0144,-0.8397,-0.5954,-2.855,0,0,0
0.0066,0.0449,1.0298,-1.0611,-0.8855,-2.7328,0,0,0
-0.0029,0.042,1.031,-0.1221,-1.1832,-3.084,0,0,0
-0.0039,0.0415,1.0232,1.3664,-0.9008,-2.2672,0,0,0
-0.0037,0.0479,1.0181,1.5954,-1.3435,-1.5802,0,0,0
-0.0044,0.0601,1.0173,1.458,-1.3664,-2.2595,0,0,0
-0.0005,0.063,1.0107,0.0153,-1.4809,-3.3282,0,0,0
-0.0012,0.0549,1.02,-1.313,-1.6794,-4.4962,0,0,0
-0.0042,0.04,1.0259,-1.7252,-0.8092,-3.7481,0,0,0
-0.0083,0.0305,1.0205,-1.9008,-0.5878,-3.4885,0,0,0
-0.011,0.0344,1.0259,-1.1221,-1.4198,-1.8855,0,0,0
0.0007,0.0388,1.0225,0.1221,-2.5954,-0.9847,0,0,0
0.0115,0.0562,1.0151,1.1145,-4.0153,-0.687,0,0,0
0.0081,0.0701,1.0261,1.2672,-4.6412,-1.9847,0,0,0
0.0146,0.0669,1.0266,0.3511,-4.6718,-3.9084,0,0,0
0.0188,0.0598,1.0388,-0.7405,-3.3893,-5.4962,0,0,0
0.0168,0.0496,1.0549,-1.5038,-1.6947,-5.5573,0,0,0
0.0083,0.0437,1.0608,-1.7939,-0.1985,-4.916,0,0,0
0.0029,0.0464,1.0549,-1.145,0.4275,-4.1069,0,0,0
0.0007,0.0542,1.0396,0.2519,0.5496,-4.0153,0,0,0
0.0049,0.0645,1.0288,1.6718,-0.626,-5.0458,0,0,0
0.0115,0.083,1.0317,2.2824,-1.6412,-6.9389,0,0,0
0.0188,0.0916,1.0386,3.7328,-1.6794,-10.6947,0,0,0
0.0249,0.0972,1.042,4.7786,-1.6565,-14.8321,0,0,0
0.0208,0.0913,1.0254,5.9771,-1.5267,-19.0763,0,0,0
0.0159,0.0935,1.0156,6.3435,-2.8702,-22.771,0,0,0
0.0298,0.0935,1.0127,8.145,-5.2214,-26.1832,0,0,0
0.0444,0.105,1.0315,10.8168,-6.5038,-29.9695,0,0,0
0.0425,0.095,1.075,17.1527,-6.4427,-34.313,0,0,0
0.0508,0.1116,1.0662,14.9237,-4.0992,-41.0382,0,0,0
0.0549,0.1189,1.0735,16.8626,-1.9313,-46.855,0,0,0
0.0515,0.1233,1.0767,19.4351,2.6565,-50.6336,0,0,0
0.0483,0.0889,1.0652,17.0458,7.8626,-52.2672,0,0,0
0.0452,0.1128,1.0828,15.2977,13.2824,-53.3588,0,0,0
0.0203,0.0886,1.0591,14.0,16.4046,-54.1221,0,0,0
-0.0034,0.0911,1.0242,13.5649,16.6718,-54.8702,0,0,0
-0.009,0.095,0.9785,13.9084,13.916,-55.5649,0,0,0
-0.0039,0.1047,0.9919,15.145,9.8931,-55.7176,0,0,0
0.0044,0.1123,1.0195,14.0763,7.7099,-55.7405,0,0,0
0.0066,0.1169,1.0649,12.6183,7.7939,-55.6794,0,0,0
0.0115,0.1138,1.0825,9.4198,10.626,-55.6641,0,0,0
0.0134,0.1165,1.1011,8.1069,15.1298,-55.1527,0,0,0
0.012,0.1135,1.1028,5.8931,20.5649,-54.7863,0,0,0
0.0037,0.1116,1.0835,3.8397,25.0763,-53.3435,0,0,0
-0.0112,0.1099,1.0767,2.8397,28.5496,-53.2595,0,0,0
-0.0264,0.1077,1.0593,4.0687,31.1221,-53.2443,0,0,0
-0.0535,0.0972,1.0264,5.9618,30.9618,-53.6794,0,0,0
-0.0791,0.0864,1.0098,7.8931,29.5649,-53.3282,0,0,0
-0.0952,0.0625,1.0027,9.1908,25.687,-51.3206,0,0,0
-0.0986,0.0503,1.01,8.8244,22.1374,-47.3893,0,0,0
-0.1047,0.0388,1.0503,7.7863,22.0,-40.9237,0,0,0
-0.1082,0.0461,1.0828,6.2901,24.8168,-33.8092,0,0,0
-0.1001,0.0571,1.0916,7.626,29.5114,-28.0916,0,0,0
-0.0962,0.0835,1.0635,6.6489,33.6718,-25.0611,0,0,0
-0.0911,0.103,1.0134,7.7557,33.5267,-23.4656,0,0,0
-0.0916,0.1296,0.9902,7.5344,32.4198,-24.7939,0,0,0
-0.0884,0.1448,0.9871,8.3817,31.2137,-27.1069,0,0,0
-0.0852,0.1433,0.9734,7.7405,29.084,-30.0,0,0,0
-0.1033,0.1548,0.9929,7.4504,27.8321,-33.4885,0,0,0
-0.1079,0.1541,0.98,7.0763,26.5725,-36.4809,0,0,0
-0.123,0.1438,0.9817,6.229,24.9466,-38.3359,0,0,0
-0.1306,0.137,1.0098,5.9389,24.4351,-39.1069,0,0,0
-0.1372,0.1255,1.009,4.0687,24.7939,-39.0229,0,0,0
-0.1458,0.1187,1.0134,3.9542,25.7252,-38.4122,0,0,0
-0.1577,0.1177,1.0044,3.2672,27.0,-37.8779,0,0,0
-0.1643,0.1169,0.9734,1.1832,26.626,-36.771,0,0,0
-0.1738,0.116,0.9709,-0.1908,25.3282,-35.0534,0,0,0
-0.1936,0.1143,0.9844,-0.1679,24.6336,-34.8168,0,0,0
-0.1931,0.1111,0.991,0.1527,23.7176,-34.3969,0,0,0
-0.2024,0.1082,0.9971,0.1221,23.4656,-34.1298,0,0,0
-0.2051,0.1055,0.9912,0.458,23.1756,-33.5573,0,0,0
-0.2144,0.0925,0.9802,0.8779,22.3511,-32.3588,0,0,0
-0.2275,0.0903,0.97,0.9618,20.9924,-31.0687,0,0,0
-0.2219,0.0884,0.9568,1.3359,19.4122,-29.7557,0,0,0
-0.2205,0.1006,0.9573,0.9618,16.8244,-27.9237,0,0,0
-0.2166,0.1062,0.989,0.8092,15.5954,-27.5725,0,0,0
-0.2148,0.1091,0.991,0.1145,15.9008,-28.1069,0,0,0
-0.2192,0.1135,0.989,-0.3359,15.9466,-29.1832,0,0,0
-0.2266,0.1072,0.9692,-1.3588,14.6031,-30.4885,0,0,0
-0.2373,0.0957,0.9675,-1.7557,12.5878,-31.6031,0,0,0
-0.2542,0.0845,0.9695,-1.7557,10.7023,-31.7099,0,0,0
-0.2581,0.0559,0.9734,-2.4427,9.5878,-29.5344,0,0,0
-0.2629,0.0581,0.9941,-3.2748,9.9389,-26.5038,0,0,0
-0.2688,0.0493,0.9856,-4.6336,11.0076,-23.0458,0,0,0
-0.2766,0.0522,0.9714,-5.1374,11.1832,-19.4351,0,0,0
-0.2813,0.0496,0.9602,-5.374,10.6794,-16.6794,0,0,0
-0.2808,0.0437,0.95,-5.1985,8.4733,-13.9389,0,0,0
-0.281,0.0437,0.9597,-4.3282,6.229,-11.7786,0,0,0
-0.2871,0.0544,0.9524,-3.3893,4.1603,-9.9313,0,0,0
-0.2769,0.0527,0.9463,-3.6565,2.2137,-8.1221,0,0,0
-0.2717,0.0566,0.957,-3.4427,1.0916,-5.9084,0,0,0
-0.2742,0.0667,0.9707,-3.2443,0.8092,-4.5038,0,0,0
-0.2722,0.0632,0.9631,-3.626,0.0153,-3.8092,0,0,0
-0.2659,0.0674,0.9766,-4.1832,-0.6794,-2.9237,0,0,0
-0.2644,0.0664,0.9597,-4.7176,-1.4122,-1.2443,0,0,0
-0.2673,0.0742,0.9583,-5.0916,-2.8321,-0.1374,0,0,0
-0.2656,0.0764,0.9812,-5.1985,-4.4046,0.3435,0,0,0
-0.2551,0.0752,0.9902,-5.4504,-4.8626,0.6183,0,0,0
-0.2429,0.0808,1.019,-5.7176,-3.2748,1.2366,0,0,0
-0.2432,0.0803,1.0227,-6.3435,-1.3969,1.7557,0,0,0
-0.2422,0.082,1.0137,-5.8397,-0.7939,1.8702,0,0,0
-0.2422,0.0867,1.0125,-5.3664,-0.6794,1.5191,0,0,0
-0.251,0.0959,1.0105,-3.5725,-1.0611,0.2748,0,0,0
-0.251,0.0898,1.0156,-1.7328,-1.9618,-1.1679,0,0,0
-0.2466,0.0845,1.0142,0.4351,-2.2519,-1.2214,0,0,0
-0.2461,0.0874,1.0173,1.5115,-2.1527,-0.8931,0,0,0
-0.2488,0.0916,1.0078,1.1908,-1.3969,-1.0534,0,0,0
-0.2483,0.0896,1.0063,0.0992,-0.1527,-0.8931,0,0,0
-0.2522,0.0881,1.0078,-1.6794,0.9466,-0.7099,0,0,0
-0.2583,0.0837,1.001,-3.2061,2.2137,0.0229,0,0,0
-0.2642,0.0791,0.9814,-3.9847,2.2366,0.5725,0,0,0
-0.2754,0.0691,0.969,-3.9924,0.1756,1.2901,0,0,0
-0.2773,0.0654,0.96,-4.0916,-1.6794,2.7557,0,0,0
-0.2739,0.0645,0.9624,-3.4656,-3.9313,3.9542,0,0,0
-0.2634,0.0581,0.9968,-2.1221,-4.5954,5.2137,0,0,0
-0.2427,0.0554,1.0142,-2.0687,-3.1832,7.2977,0,0,0
-0.2471,0.0618,1.0105,-3.2901,-1.5725,9.1374,0,0,0
-0.2659,0.0632,1.0066,-4.2595,-0.0153,10.4427,0,0,0
-0.271,0.043,0.9871,-3.6336,0.2137,12.3282,0,0,0
-0.2737,0.0457,0.97,-2.9924,-1.8092,15.3588,0,0,0
-0.2825,0.0383,0.9768,-2.5725,-3.7252,17.916,0,0,0
-0.2817,0.0449,0.9773,-1.6641,-5.0687,20.7786,0,0,0
-0.2737,0.0522,0.9778,-1.0458,-6.2748,23.5496,0,0,0
