ax,ay,az,gx,gy,gz,left_click,right_click
-0.0374,0.1196,0.9895,-3.0305,-7.9389,-1.7557,0,0,0
-0.0364,0.1147,0.998,-4.3282,-8.0763,-3.0229,0,0,0
-0.0388,0.1104,0.9844,-5.9847,-8.4275,-4.2595,0,0,0
-0.0332,0.0962,1.0161,-7.6794,-8.3053,-5.5115,0,0,0
-0.032,0.0884,1.0464,-8.855,-5.9084,-5.4809,0,0,0
-0.0322,0.0767,1.0356,-9.7786,-3.2443,-4.9542,0,0,0
-0.0383,0.0725,1.0059,-9.7252,-2.7252,-4.3588,0,0,0
-0.0427,0.0627,0.9949,-8.687,-3.9695,-4.3969,0,0,0
-0.0474,0.0684,1.0146,-7.9084,-5.1527,-5.1603,0,0,0
-0.0544,0.0605,1.0234,-7.4427,-5.3435,-5.5038,0,0,0
-0.0505,0.0447,1.011,-6.5954,-5.5038,-5.1069,0,0,0
-0.0408,0.0388,1.01,-7.1679,-6.9771,-3.8321,0,0,0
-0.04,0.0437,1.0166,-7.9237,-7.8321,-2.8092,0,0,0
-0.0366,0.0374,1.063,-8.4962,-7.6565,-2.0763,0,0,0
-0.0278,0.0315,1.0999,-8.8855,-4.6718,-1.6794,0,0,0
-0.0269,0.0298,1.1174,-7.6107,-0.9466,-1.1756,0,0,0
-0.03,0.041,1.1028,-6.1603,2.8626,-0.5038,0,0,0
-0.0344,0.0432,1.0635,-3.6565,3.5725,-0.1908,0,0,0
-0.0454,0.0615,1.0291,-2.0153,2.5954,-1.2214,0,0,0
-0.0498,0.064,1.0208,-0.9389,0.6107,-2.7405,0,0,0
-0.0496,0.0535,1.0176,-0.7481,-1.0611,-4.374,0,0,0
-0.0483,0.041,1.0396,-1.1832,-1.9237,-4.6489,0,0,0
-0.0444,0.0249,1.0513,-0.8473,-1.0305,-2.855,0,0,0
-0.043,0.0359,1.0542,0.1756,0.313,-0.9237,0,0,0
-0.0415,0.0547,1.0256,1.1832,1.2595,0.5878,0,0,0
-0.0469,0.0684,0.9985,1.626,0.9237,-0.0153,0,0,0
-0.0432,0.0762,0.9893,1.3511,-0.4275,-0.8397,0,0,0
-0.0405,0.0657,0.9912,0.1756,-1.8321,-1.8015,0,0,0
-0.0425,0.0564,1.0078,-0.9084,-2.7405,-2.0611,0,0,0
-0.0361,0.0508,1.0232,-1.2214,-2.3435,-1.5802,0,0,0
-0.0381,0.0479,1.0293,-1.8244,-1.2061,-0.2672,0,0,0
-0.0327,0.0474,1.0312,-2.1374,-0.8626,0.7939,0,0,0
-0.0352,0.0554,1.0386,-1.6641,0.1603,1.1985,0,0,0
-0.0371,0.0637,1.0276,-0.5496,-0.229,1.2977,0,0,0
-0.0366,0.0691,1.0173,0.4275,-1.4504,0.5267,0,0,0
-0.0381,0.0708,1.0046,0.8779,-2.6718,-0.687,0,0,0
-0.0405,0.0688,1.0193,0.4656,-3.3282,-1.4885,0,0,0
-0.032,0.0537,1.03,-0.3588,-3.0534,-1.3817,0,0,0
-0.03,0.0454,1.0593,-0.9695,-1.7176,-0.2443,0,0,0
